#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9432 keV Jpi=4- l=5 n=1 j=11/2"                  
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000      0.4964    
   1.000      0.4963    
   2.000      0.4960    
   3.000      0.4957    
   4.000      0.4954    
   5.000      0.4954    
   6.000      0.4958    
   7.000      0.4971    
   8.000      0.4993    
   9.000      0.5026    
   10.00      0.5072    
   11.00      0.5132    
   12.00      0.5208    
   13.00      0.5298    
   14.00      0.5403    
   15.00      0.5522    
   16.00      0.5653    
   17.00      0.5794    
   18.00      0.5943    
   19.00      0.6098    
   20.00      0.6255    
   21.00      0.6412    
   22.00      0.6564    
   23.00      0.6709    
   24.00      0.6841    
   25.00      0.6956    
   26.00      0.7051    
   27.00      0.7121    
   28.00      0.7162    
   29.00      0.7172    
   30.00      0.7146    
   31.00      0.7085    
   32.00      0.6985    
   33.00      0.6849    
   34.00      0.6677    
   35.00      0.6470    
   36.00      0.6231    
   37.00      0.5965    
   38.00      0.5674    
   39.00      0.5364    
   40.00      0.5040    
   41.00      0.4707    
   42.00      0.4370    
   43.00      0.4036    
   44.00      0.3708    
   45.00      0.3392    
   46.00      0.3091    
   47.00      0.2810    
   48.00      0.2551    
   49.00      0.2316    
   50.00      0.2106    
   51.00      0.1923    
   52.00      0.1765    
   53.00      0.1632    
   54.00      0.1523    
   55.00      0.1435    
   56.00      0.1367    
   57.00      0.1314    
   58.00      0.1275    
   59.00      0.1247    
   60.00      0.1226    
   61.00      0.1210    
   62.00      0.1197    
   63.00      0.1185    
   64.00      0.1171    
   65.00      0.1156    
   66.00      0.1137    
   67.00      0.1115    
   68.00      0.1089    
   69.00      0.1059    
   70.00      0.1026    
   71.00      0.9899E-01
   72.00      0.9516E-01
   73.00      0.9117E-01
   74.00      0.8709E-01
   75.00      0.8298E-01
   76.00      0.7891E-01
   77.00      0.7493E-01
   78.00      0.7109E-01
   79.00      0.6742E-01
   80.00      0.6395E-01
 END
