#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8851 keV Jpi=6- l=5 n=1 j=11/2"                  
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000      0.6406    
   1.000      0.6405    
   2.000      0.6402    
   3.000      0.6399    
   4.000      0.6399    
   5.000      0.6406    
   6.000      0.6421    
   7.000      0.6450    
   8.000      0.6496    
   9.000      0.6559    
   10.00      0.6644    
   11.00      0.6751    
   12.00      0.6883    
   13.00      0.7040    
   14.00      0.7222    
   15.00      0.7429    
   16.00      0.7659    
   17.00      0.7911    
   18.00      0.8180    
   19.00      0.8462    
   20.00      0.8751    
   21.00      0.9043    
   22.00      0.9331    
   23.00      0.9609    
   24.00      0.9871    
   25.00       1.011    
   26.00       1.032    
   27.00       1.049    
   28.00       1.062    
   29.00       1.069    
   30.00       1.071    
   31.00       1.066    
   32.00       1.055    
   33.00       1.038    
   34.00       1.014    
   35.00      0.9840    
   36.00      0.9486    
   37.00      0.9084    
   38.00      0.8640    
   39.00      0.8163    
   40.00      0.7660    
   41.00      0.7140    
   42.00      0.6612    
   43.00      0.6085    
   44.00      0.5567    
   45.00      0.5065    
   46.00      0.4590    
   47.00      0.4145    
   48.00      0.3739    
   49.00      0.3373    
   50.00      0.3051    
   51.00      0.2773    
   52.00      0.2538    
   53.00      0.2344    
   54.00      0.2187    
   55.00      0.2063    
   56.00      0.1969    
   57.00      0.1898    
   58.00      0.1847    
   59.00      0.1811    
   60.00      0.1787    
   61.00      0.1769    
   62.00      0.1755    
   63.00      0.1742    
   64.00      0.1726    
   65.00      0.1707    
   66.00      0.1682    
   67.00      0.1650    
   68.00      0.1612    
   69.00      0.1568    
   70.00      0.1518    
   71.00      0.1463    
   72.00      0.1404    
   73.00      0.1344    
   74.00      0.1282    
   75.00      0.1221    
   76.00      0.1161    
   77.00      0.1104    
   78.00      0.1049    
   79.00      0.9977E-01
   80.00      0.9494E-01
 END
