#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9226.69 keV Jpi=2- l=1 n=2 j=3/2"                
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       15.89    
   1.000       15.86    
   2.000       15.77    
   3.000       15.60    
   4.000       15.35    
   5.000       15.01    
   6.000       14.56    
   7.000       13.99    
   8.000       13.31    
   9.000       12.53    
   10.00       11.66    
   11.00       10.72    
   12.00       9.741    
   13.00       8.762    
   14.00       7.814    
   15.00       6.928    
   16.00       6.132    
   17.00       5.447    
   18.00       4.884    
   19.00       4.447    
   20.00       4.129    
   21.00       3.919    
   22.00       3.796    
   23.00       3.739    
   24.00       3.723    
   25.00       3.725    
   26.00       3.724    
   27.00       3.702    
   28.00       3.648    
   29.00       3.555    
   30.00       3.420    
   31.00       3.244    
   32.00       3.034    
   33.00       2.798    
   34.00       2.545    
   35.00       2.285    
   36.00       2.028    
   37.00       1.783    
   38.00       1.556    
   39.00       1.352    
   40.00       1.176    
   41.00       1.028    
   42.00      0.9071    
   43.00      0.8123    
   44.00      0.7405    
   45.00      0.6880    
   46.00      0.6511    
   47.00      0.6258    
   48.00      0.6086    
   49.00      0.5962    
   50.00      0.5861    
   51.00      0.5762    
   52.00      0.5653    
   53.00      0.5524    
   54.00      0.5373    
   55.00      0.5202    
   56.00      0.5015    
   57.00      0.4817    
   58.00      0.4615    
   59.00      0.4415    
   60.00      0.4225    
   61.00      0.4048    
   62.00      0.3888    
   63.00      0.3746    
   64.00      0.3623    
   65.00      0.3517    
   66.00      0.3426    
   67.00      0.3347    
   68.00      0.3276    
   69.00      0.3208    
   70.00      0.3142    
   71.00      0.3072    
   72.00      0.2996    
   73.00      0.2912    
   74.00      0.2819    
   75.00      0.2716    
   76.00      0.2602    
   77.00      0.2480    
   78.00      0.2349    
   79.00      0.2213    
   80.00      0.2073    
 END
