#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9227.43 keV Jpi=2+ l=2 n=3 j=5/2"                
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       21.85    
   1.000       21.88    
   2.000       21.97    
   3.000       22.12    
   4.000       22.31    
   5.000       22.51    
   6.000       22.71    
   7.000       22.87    
   8.000       22.97    
   9.000       22.99    
   10.00       22.88    
   11.00       22.65    
   12.00       22.25    
   13.00       21.69    
   14.00       20.95    
   15.00       20.06    
   16.00       19.01    
   17.00       17.83    
   18.00       16.56    
   19.00       15.24    
   20.00       13.88    
   21.00       12.55    
   22.00       11.26    
   23.00       10.04    
   24.00       8.930    
   25.00       7.933    
   26.00       7.061    
   27.00       6.314    
   28.00       5.688    
   29.00       5.174    
   30.00       4.758    
   31.00       4.422    
   32.00       4.151    
   33.00       3.925    
   34.00       3.730    
   35.00       3.550    
   36.00       3.376    
   37.00       3.199    
   38.00       3.015    
   39.00       2.822    
   40.00       2.621    
   41.00       2.414    
   42.00       2.206    
   43.00       2.002    
   44.00       1.805    
   45.00       1.622    
   46.00       1.455    
   47.00       1.308    
   48.00       1.183    
   49.00       1.080    
   50.00      0.9982    
   51.00      0.9370    
   52.00      0.8936    
   53.00      0.8648    
   54.00      0.8474    
   55.00      0.8378    
   56.00      0.8327    
   57.00      0.8289    
   58.00      0.8238    
   59.00      0.8153    
   60.00      0.8018    
   61.00      0.7823    
   62.00      0.7566    
   63.00      0.7247    
   64.00      0.6872    
   65.00      0.6450    
   66.00      0.5995    
   67.00      0.5519    
   68.00      0.5037    
   69.00      0.4561    
   70.00      0.4105    
   71.00      0.3677    
   72.00      0.3288    
   73.00      0.2941    
   74.00      0.2641    
   75.00      0.2388    
   76.00      0.2181    
   77.00      0.2019    
   78.00      0.1896    
   79.00      0.1807    
   80.00      0.1747    
 END
