#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8188 keV Jpi=3+ l=4 n=1 j=9/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       1.681    
   1.000       1.678    
   2.000       1.673    
   3.000       1.663    
   4.000       1.651    
   5.000       1.638    
   6.000       1.624    
   7.000       1.611    
   8.000       1.600    
   9.000       1.592    
   10.00       1.590    
   11.00       1.592    
   12.00       1.600    
   13.00       1.614    
   14.00       1.634    
   15.00       1.659    
   16.00       1.687    
   17.00       1.718    
   18.00       1.750    
   19.00       1.781    
   20.00       1.808    
   21.00       1.829    
   22.00       1.842    
   23.00       1.845    
   24.00       1.837    
   25.00       1.815    
   26.00       1.780    
   27.00       1.731    
   28.00       1.669    
   29.00       1.594    
   30.00       1.508    
   31.00       1.414    
   32.00       1.312    
   33.00       1.206    
   34.00       1.097    
   35.00      0.9888    
   36.00      0.8827    
   37.00      0.7811    
   38.00      0.6856    
   39.00      0.5978    
   40.00      0.5189    
   41.00      0.4495    
   42.00      0.3900    
   43.00      0.3403    
   44.00      0.3001    
   45.00      0.2686    
   46.00      0.2448    
   47.00      0.2277    
   48.00      0.2160    
   49.00      0.2086    
   50.00      0.2043    
   51.00      0.2021    
   52.00      0.2010    
   53.00      0.2001    
   54.00      0.1988    
   55.00      0.1967    
   56.00      0.1934    
   57.00      0.1888    
   58.00      0.1827    
   59.00      0.1754    
   60.00      0.1669    
   61.00      0.1576    
   62.00      0.1477    
   63.00      0.1375    
   64.00      0.1273    
   65.00      0.1174    
   66.00      0.1078    
   67.00      0.9891E-01
   68.00      0.9070E-01
   69.00      0.8329E-01
   70.00      0.7668E-01
   71.00      0.7087E-01
   72.00      0.6581E-01
   73.00      0.6142E-01
   74.00      0.5762E-01
   75.00      0.5431E-01
   76.00      0.5141E-01
   77.00      0.4882E-01
   78.00      0.4648E-01
   79.00      0.4433E-01
   80.00      0.4231E-01
 END
