#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8188 keV Jpi=3+ l=2 n=2 j=3/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       25.28    
   1.000       25.33    
   2.000       25.46    
   3.000       25.68    
   4.000       25.95    
   5.000       26.27    
   6.000       26.58    
   7.000       26.87    
   8.000       27.09    
   9.000       27.20    
   10.00       27.15    
   11.00       26.92    
   12.00       26.46    
   13.00       25.76    
   14.00       24.81    
   15.00       23.61    
   16.00       22.20    
   17.00       20.61    
   18.00       18.90    
   19.00       17.12    
   20.00       15.34    
   21.00       13.60    
   22.00       11.96    
   23.00       10.45    
   24.00       9.094    
   25.00       7.920    
   26.00       6.933    
   27.00       6.131    
   28.00       5.503    
   29.00       5.028    
   30.00       4.682    
   31.00       4.434    
   32.00       4.254    
   33.00       4.114    
   34.00       3.989    
   35.00       3.863    
   36.00       3.722    
   37.00       3.558    
   38.00       3.370    
   39.00       3.158    
   40.00       2.925    
   41.00       2.677    
   42.00       2.423    
   43.00       2.169    
   44.00       1.924    
   45.00       1.696    
   46.00       1.490    
   47.00       1.311    
   48.00       1.161    
   49.00       1.039    
   50.00      0.9440    
   51.00      0.8719    
   52.00      0.8193    
   53.00      0.7820    
   54.00      0.7557    
   55.00      0.7365    
   56.00      0.7204    
   57.00      0.7043    
   58.00      0.6854    
   59.00      0.6618    
   60.00      0.6326    
   61.00      0.5976    
   62.00      0.5575    
   63.00      0.5138    
   64.00      0.4681    
   65.00      0.4225    
   66.00      0.3786    
   67.00      0.3381    
   68.00      0.3023    
   69.00      0.2721    
   70.00      0.2482    
   71.00      0.2307    
   72.00      0.2197    
   73.00      0.2148    
   74.00      0.2154    
   75.00      0.2204    
   76.00      0.2289    
   77.00      0.2396    
   78.00      0.2511    
   79.00      0.2624    
   80.00      0.2724    
 END
