#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 7623 keV Jpi=3+ l=2 n=1 j=3/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       8.782    
   1.000       8.814    
   2.000       8.909    
   3.000       9.062    
   4.000       9.262    
   5.000       9.499    
   6.000       9.757    
   7.000       10.02    
   8.000       10.26    
   9.000       10.46    
   10.00       10.60    
   11.00       10.65    
   12.00       10.60    
   13.00       10.42    
   14.00       10.13    
   15.00       9.712    
   16.00       9.180    
   17.00       8.550    
   18.00       7.844    
   19.00       7.091    
   20.00       6.317    
   21.00       5.553    
   22.00       4.824    
   23.00       4.152    
   24.00       3.554    
   25.00       3.041    
   26.00       2.618    
   27.00       2.286    
   28.00       2.037    
   29.00       1.863    
   30.00       1.751    
   31.00       1.686    
   32.00       1.653    
   33.00       1.638    
   34.00       1.628    
   35.00       1.615    
   36.00       1.589    
   37.00       1.548    
   38.00       1.489    
   39.00       1.412    
   40.00       1.320    
   41.00       1.216    
   42.00       1.104    
   43.00      0.9900    
   44.00      0.8774    
   45.00      0.7705    
   46.00      0.6727    
   47.00      0.5864    
   48.00      0.5129    
   49.00      0.4527    
   50.00      0.4054    
   51.00      0.3698    
   52.00      0.3442    
   53.00      0.3267    
   54.00      0.3151    
   55.00      0.3074    
   56.00      0.3017    
   57.00      0.2964    
   58.00      0.2902    
   59.00      0.2821    
   60.00      0.2717    
   61.00      0.2587    
   62.00      0.2434    
   63.00      0.2261    
   64.00      0.2074    
   65.00      0.1879    
   66.00      0.1684    
   67.00      0.1495    
   68.00      0.1318    
   69.00      0.1158    
   70.00      0.1019    
   71.00      0.9016E-01
   72.00      0.8070E-01
   73.00      0.7346E-01
   74.00      0.6826E-01
   75.00      0.6483E-01
   76.00      0.6285E-01
   77.00      0.6196E-01
   78.00      0.6179E-01
   79.00      0.6201E-01
   80.00      0.6231E-01
 END
