#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9226.69 keV Jpi=3- l=1 n=3 j=3/2"                
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       40.67    
   1.000       40.58    
   2.000       40.29    
   3.000       39.80    
   4.000       39.08    
   5.000       38.10    
   6.000       36.83    
   7.000       35.26    
   8.000       33.41    
   9.000       31.28    
   10.00       28.93    
   11.00       26.41    
   12.00       23.80    
   13.00       21.19    
   14.00       18.66    
   15.00       16.28    
   16.00       14.14    
   17.00       12.27    
   18.00       10.72    
   19.00       9.488    
   20.00       8.565    
   21.00       7.921    
   22.00       7.510    
   23.00       7.278    
   24.00       7.167    
   25.00       7.121    
   26.00       7.088    
   27.00       7.027    
   28.00       6.907    
   29.00       6.710    
   30.00       6.428    
   31.00       6.065    
   32.00       5.633    
   33.00       5.149    
   34.00       4.636    
   35.00       4.116    
   36.00       3.611    
   37.00       3.141    
   38.00       2.720    
   39.00       2.360    
   40.00       2.066    
   41.00       1.841    
   42.00       1.681    
   43.00       1.580    
   44.00       1.529    
   45.00       1.518    
   46.00       1.537    
   47.00       1.574    
   48.00       1.619    
   49.00       1.663    
   50.00       1.699    
   51.00       1.721    
   52.00       1.726    
   53.00       1.712    
   54.00       1.678    
   55.00       1.626    
   56.00       1.557    
   57.00       1.474    
   58.00       1.380    
   59.00       1.279    
   60.00       1.174    
   61.00       1.067    
   62.00      0.9630    
   63.00      0.8629    
   64.00      0.7689    
   65.00      0.6824    
   66.00      0.6044    
   67.00      0.5354    
   68.00      0.4755    
   69.00      0.4245    
   70.00      0.3820    
   71.00      0.3473    
   72.00      0.3197    
   73.00      0.2983    
   74.00      0.2823    
   75.00      0.2709    
   76.00      0.2631    
   77.00      0.2582    
   78.00      0.2555    
   79.00      0.2543    
   80.00      0.2541    
 END
