#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 7623 keV Jpi=4+ l=4 n=2 j=9/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       4.163    
   1.000       4.164    
   2.000       4.168    
   3.000       4.174    
   4.000       4.185    
   5.000       4.200    
   6.000       4.223    
   7.000       4.253    
   8.000       4.292    
   9.000       4.342    
   10.00       4.404    
   11.00       4.479    
   12.00       4.569    
   13.00       4.674    
   14.00       4.793    
   15.00       4.925    
   16.00       5.068    
   17.00       5.216    
   18.00       5.366    
   19.00       5.511    
   20.00       5.643    
   21.00       5.756    
   22.00       5.842    
   23.00       5.894    
   24.00       5.906    
   25.00       5.873    
   26.00       5.791    
   27.00       5.661    
   28.00       5.480    
   29.00       5.253    
   30.00       4.982    
   31.00       4.674    
   32.00       4.337    
   33.00       3.979    
   34.00       3.608    
   35.00       3.235    
   36.00       2.868    
   37.00       2.515    
   38.00       2.184    
   39.00       1.881    
   40.00       1.610    
   41.00       1.373    
   42.00       1.173    
   43.00       1.008    
   44.00      0.8778    
   45.00      0.7790    
   46.00      0.7084    
   47.00      0.6616    
   48.00      0.6342    
   49.00      0.6215    
   50.00      0.6191    
   51.00      0.6227    
   52.00      0.6289    
   53.00      0.6345    
   54.00      0.6372    
   55.00      0.6354    
   56.00      0.6282    
   57.00      0.6150    
   58.00      0.5962    
   59.00      0.5723    
   60.00      0.5441    
   61.00      0.5127    
   62.00      0.4792    
   63.00      0.4447    
   64.00      0.4105    
   65.00      0.3773    
   66.00      0.3461    
   67.00      0.3175    
   68.00      0.2919    
   69.00      0.2694    
   70.00      0.2502    
   71.00      0.2341    
   72.00      0.2208    
   73.00      0.2099    
   74.00      0.2011    
   75.00      0.1938    
   76.00      0.1876    
   77.00      0.1820    
   78.00      0.1768    
   79.00      0.1716    
   80.00      0.1663    
 END
