#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9227.43 keV Jpi=2+ l=4 n=1 j=7/2"                
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       1.196    
   1.000       1.195    
   2.000       1.193    
   3.000       1.190    
   4.000       1.186    
   5.000       1.181    
   6.000       1.175    
   7.000       1.169    
   8.000       1.164    
   9.000       1.158    
   10.00       1.154    
   11.00       1.152    
   12.00       1.151    
   13.00       1.152    
   14.00       1.154    
   15.00       1.157    
   16.00       1.161    
   17.00       1.165    
   18.00       1.169    
   19.00       1.171    
   20.00       1.170    
   21.00       1.166    
   22.00       1.158    
   23.00       1.146    
   24.00       1.128    
   25.00       1.104    
   26.00       1.075    
   27.00       1.039    
   28.00      0.9975    
   29.00      0.9508    
   30.00      0.8995    
   31.00      0.8444    
   32.00      0.7864    
   33.00      0.7267    
   34.00      0.6662    
   35.00      0.6062    
   36.00      0.5476    
   37.00      0.4915    
   38.00      0.4388    
   39.00      0.3900    
   40.00      0.3458    
   41.00      0.3065    
   42.00      0.2722    
   43.00      0.2429    
   44.00      0.2185    
   45.00      0.1986    
   46.00      0.1828    
   47.00      0.1706    
   48.00      0.1614    
   49.00      0.1546    
   50.00      0.1497    
   51.00      0.1460    
   52.00      0.1430    
   53.00      0.1403    
   54.00      0.1376    
   55.00      0.1345    
   56.00      0.1308    
   57.00      0.1265    
   58.00      0.1216    
   59.00      0.1160    
   60.00      0.1099    
   61.00      0.1034    
   62.00      0.9657E-01
   63.00      0.8964E-01
   64.00      0.8272E-01
   65.00      0.7597E-01
   66.00      0.6951E-01
   67.00      0.6343E-01
   68.00      0.5783E-01
   69.00      0.5275E-01
   70.00      0.4822E-01
   71.00      0.4427E-01
   72.00      0.4087E-01
   73.00      0.3799E-01
   74.00      0.3558E-01
   75.00      0.3359E-01
   76.00      0.3195E-01
   77.00      0.3060E-01
   78.00      0.2947E-01
   79.00      0.2851E-01
   80.00      0.2767E-01
 END
