#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9136 keV Jpi=3- l=1 n=2 j=3/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       23.36    
   1.000       23.32    
   2.000       23.19    
   3.000       22.96    
   4.000       22.61    
   5.000       22.12    
   6.000       21.47    
   7.000       20.65    
   8.000       19.67    
   9.000       18.52    
   10.00       17.23    
   11.00       15.85    
   12.00       14.40    
   13.00       12.94    
   14.00       11.53    
   15.00       10.20    
   16.00       9.012    
   17.00       7.984    
   18.00       7.137    
   19.00       6.479    
   20.00       6.000    
   21.00       5.681    
   22.00       5.495    
   23.00       5.408    
   24.00       5.383    
   25.00       5.386    
   26.00       5.385    
   27.00       5.355    
   28.00       5.279    
   29.00       5.144    
   30.00       4.947    
   31.00       4.691    
   32.00       4.385    
   33.00       4.040    
   34.00       3.671    
   35.00       3.292    
   36.00       2.918    
   37.00       2.561    
   38.00       2.232    
   39.00       1.938    
   40.00       1.683    
   41.00       1.470    
   42.00       1.298    
   43.00       1.163    
   44.00       1.061    
   45.00      0.9878    
   46.00      0.9366    
   47.00      0.9020    
   48.00      0.8787    
   49.00      0.8619    
   50.00      0.8479    
   51.00      0.8338    
   52.00      0.8176    
   53.00      0.7984    
   54.00      0.7757    
   55.00      0.7499    
   56.00      0.7216    
   57.00      0.6918    
   58.00      0.6616    
   59.00      0.6319    
   60.00      0.6037    
   61.00      0.5776    
   62.00      0.5541    
   63.00      0.5335    
   64.00      0.5158    
   65.00      0.5007    
   66.00      0.4879    
   67.00      0.4769    
   68.00      0.4671    
   69.00      0.4580    
   70.00      0.4488    
   71.00      0.4392    
   72.00      0.4286    
   73.00      0.4169    
   74.00      0.4037    
   75.00      0.3890    
   76.00      0.3728    
   77.00      0.3553    
   78.00      0.3366    
   79.00      0.3170    
   80.00      0.2968    
 END
