#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9092 keV Jpi=3- l=5 n=1 j=9/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000      0.4849    
   1.000      0.4843    
   2.000      0.4826    
   3.000      0.4795    
   4.000      0.4749    
   5.000      0.4689    
   6.000      0.4615    
   7.000      0.4529    
   8.000      0.4438    
   9.000      0.4346    
   10.00      0.4261    
   11.00      0.4189    
   12.00      0.4136    
   13.00      0.4106    
   14.00      0.4100    
   15.00      0.4120    
   16.00      0.4164    
   17.00      0.4233    
   18.00      0.4324    
   19.00      0.4436    
   20.00      0.4566    
   21.00      0.4711    
   22.00      0.4865    
   23.00      0.5024    
   24.00      0.5181    
   25.00      0.5329    
   26.00      0.5462    
   27.00      0.5574    
   28.00      0.5661    
   29.00      0.5719    
   30.00      0.5745    
   31.00      0.5739    
   32.00      0.5698    
   33.00      0.5621    
   34.00      0.5509    
   35.00      0.5361    
   36.00      0.5179    
   37.00      0.4966    
   38.00      0.4725    
   39.00      0.4461    
   40.00      0.4180    
   41.00      0.3889    
   42.00      0.3594    
   43.00      0.3301    
   44.00      0.3015    
   45.00      0.2741    
   46.00      0.2483    
   47.00      0.2243    
   48.00      0.2024    
   49.00      0.1828    
   50.00      0.1654    
   51.00      0.1505    
   52.00      0.1379    
   53.00      0.1276    
   54.00      0.1194    
   55.00      0.1131    
   56.00      0.1083    
   57.00      0.1049    
   58.00      0.1024    
   59.00      0.1007    
   60.00      0.9940E-01
   61.00      0.9845E-01
   62.00      0.9762E-01
   63.00      0.9679E-01
   64.00      0.9584E-01
   65.00      0.9465E-01
   66.00      0.9314E-01
   67.00      0.9122E-01
   68.00      0.8887E-01
   69.00      0.8607E-01
   70.00      0.8287E-01
   71.00      0.7934E-01
   72.00      0.7559E-01
   73.00      0.7172E-01
   74.00      0.6784E-01
   75.00      0.6404E-01
   76.00      0.6037E-01
   77.00      0.5687E-01
   78.00      0.5354E-01
   79.00      0.5039E-01
   80.00      0.4742E-01
 END
