#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8995 keV Jpi=2+ l=2 n=3 j=3/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       25.87    
   1.000       25.89    
   2.000       25.94    
   3.000       26.03    
   4.000       26.12    
   5.000       26.21    
   6.000       26.26    
   7.000       26.26    
   8.000       26.17    
   9.000       25.97    
   10.00       25.64    
   11.00       25.15    
   12.00       24.49    
   13.00       23.66    
   14.00       22.67    
   15.00       21.52    
   16.00       20.23    
   17.00       18.84    
   18.00       17.37    
   19.00       15.87    
   20.00       14.38    
   21.00       12.93    
   22.00       11.57    
   23.00       10.32    
   24.00       9.198    
   25.00       8.221    
   26.00       7.390    
   27.00       6.699    
   28.00       6.137    
   29.00       5.687    
   30.00       5.328    
   31.00       5.039    
   32.00       4.798    
   33.00       4.586    
   34.00       4.385    
   35.00       4.181    
   36.00       3.964    
   37.00       3.729    
   38.00       3.475    
   39.00       3.202    
   40.00       2.917    
   41.00       2.625    
   42.00       2.334    
   43.00       2.053    
   44.00       1.789    
   45.00       1.549    
   46.00       1.339    
   47.00       1.160    
   48.00       1.016    
   49.00      0.9058    
   50.00      0.8276    
   51.00      0.7782    
   52.00      0.7536    
   53.00      0.7486    
   54.00      0.7580    
   55.00      0.7764    
   56.00      0.7989    
   57.00      0.8211    
   58.00      0.8391    
   59.00      0.8502    
   60.00      0.8525    
   61.00      0.8447    
   62.00      0.8268    
   63.00      0.7990    
   64.00      0.7626    
   65.00      0.7189    
   66.00      0.6697    
   67.00      0.6170    
   68.00      0.5627    
   69.00      0.5086    
   70.00      0.4562    
   71.00      0.4070    
   72.00      0.3620    
   73.00      0.3218    
   74.00      0.2868    
   75.00      0.2572    
   76.00      0.2328    
   77.00      0.2132    
   78.00      0.1979    
   79.00      0.1862    
   80.00      0.1774    
 END
