#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8851 keV Jpi=8- l=7 n=1 j=13/2"                  
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000      0.1445    
   1.000      0.1436    
   2.000      0.1409    
   3.000      0.1366    
   4.000      0.1308    
   5.000      0.1239    
   6.000      0.1164    
   7.000      0.1091    
   8.000      0.1030    
   9.000      0.9909E-01
   10.00      0.9801E-01
   11.00      0.1002    
   12.00      0.1055    
   13.00      0.1135    
   14.00      0.1229    
   15.00      0.1327    
   16.00      0.1413    
   17.00      0.1479    
   18.00      0.1518    
   19.00      0.1528    
   20.00      0.1511    
   21.00      0.1476    
   22.00      0.1431    
   23.00      0.1386    
   24.00      0.1347    
   25.00      0.1321    
   26.00      0.1311    
   27.00      0.1317    
   28.00      0.1338    
   29.00      0.1372    
   30.00      0.1415    
   31.00      0.1465    
   32.00      0.1519    
   33.00      0.1573    
   34.00      0.1625    
   35.00      0.1672    
   36.00      0.1712    
   37.00      0.1745    
   38.00      0.1768    
   39.00      0.1785    
   40.00      0.1795    
   41.00      0.1803    
   42.00      0.1811    
   43.00      0.1823    
   44.00      0.1841    
   45.00      0.1867    
   46.00      0.1899    
   47.00      0.1935    
   48.00      0.1971    
   49.00      0.2001    
   50.00      0.2019    
   51.00      0.2019    
   52.00      0.1997    
   53.00      0.1952    
   54.00      0.1883    
   55.00      0.1795    
   56.00      0.1693    
   57.00      0.1583    
   58.00      0.1475    
   59.00      0.1375    
   60.00      0.1289    
   61.00      0.1219    
   62.00      0.1166    
   63.00      0.1127    
   64.00      0.1099    
   65.00      0.1075    
   66.00      0.1049    
   67.00      0.1016    
   68.00      0.9741E-01
   69.00      0.9219E-01
   70.00      0.8613E-01
   71.00      0.7962E-01
   72.00      0.7318E-01
   73.00      0.6737E-01
   74.00      0.6267E-01
   75.00      0.5942E-01
   76.00      0.5774E-01
   77.00      0.5752E-01
   78.00      0.5844E-01
   79.00      0.6004E-01
   80.00      0.6179E-01
 END
