#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8748 keV Jpi=2+ l=2 n=3 j=3/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       27.94    
   1.000       27.96    
   2.000       28.03    
   3.000       28.14    
   4.000       28.27    
   5.000       28.40    
   6.000       28.50    
   7.000       28.53    
   8.000       28.48    
   9.000       28.31    
   10.00       27.99    
   11.00       27.50    
   12.00       26.82    
   13.00       25.94    
   14.00       24.86    
   15.00       23.60    
   16.00       22.18    
   17.00       20.63    
   18.00       18.99    
   19.00       17.31    
   20.00       15.65    
   21.00       14.03    
   22.00       12.51    
   23.00       11.12    
   24.00       9.875    
   25.00       8.793    
   26.00       7.876    
   27.00       7.120    
   28.00       6.509    
   29.00       6.026    
   30.00       5.646    
   31.00       5.346    
   32.00       5.099    
   33.00       4.882    
   34.00       4.676    
   35.00       4.464    
   36.00       4.237    
   37.00       3.987    
   38.00       3.714    
   39.00       3.420    
   40.00       3.112    
   41.00       2.795    
   42.00       2.480    
   43.00       2.176    
   44.00       1.891    
   45.00       1.633    
   46.00       1.406    
   47.00       1.216    
   48.00       1.063    
   49.00      0.9471    
   50.00      0.8661    
   51.00      0.8163    
   52.00      0.7928    
   53.00      0.7900    
   54.00      0.8018    
   55.00      0.8226    
   56.00      0.8468    
   57.00      0.8698    
   58.00      0.8877    
   59.00      0.8975    
   60.00      0.8974    
   61.00      0.8863    
   62.00      0.8641    
   63.00      0.8316    
   64.00      0.7900    
   65.00      0.7411    
   66.00      0.6869    
   67.00      0.6295    
   68.00      0.5711    
   69.00      0.5136    
   70.00      0.4587    
   71.00      0.4078    
   72.00      0.3617    
   73.00      0.3212    
   74.00      0.2866    
   75.00      0.2577    
   76.00      0.2344    
   77.00      0.2160    
   78.00      0.2020    
   79.00      0.1916    
   80.00      0.1840    
 END
