#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 7623 keV Jpi=2- l=3 n=1 j=7/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       2.868    
   1.000       2.873    
   2.000       2.885    
   3.000       2.905    
   4.000       2.933    
   5.000       2.969    
   6.000       3.012    
   7.000       3.062    
   8.000       3.118    
   9.000       3.178    
   10.00       3.240    
   11.00       3.302    
   12.00       3.360    
   13.00       3.411    
   14.00       3.451    
   15.00       3.477    
   16.00       3.483    
   17.00       3.467    
   18.00       3.427    
   19.00       3.359    
   20.00       3.264    
   21.00       3.141    
   22.00       2.991    
   23.00       2.818    
   24.00       2.625    
   25.00       2.416    
   26.00       2.199    
   27.00       1.978    
   28.00       1.760    
   29.00       1.551    
   30.00       1.356    
   31.00       1.178    
   32.00       1.021    
   33.00      0.8868    
   34.00      0.7746    
   35.00      0.6844    
   36.00      0.6145    
   37.00      0.5627    
   38.00      0.5265    
   39.00      0.5029    
   40.00      0.4887    
   41.00      0.4808    
   42.00      0.4765    
   43.00      0.4731    
   44.00      0.4685    
   45.00      0.4612    
   46.00      0.4501    
   47.00      0.4349    
   48.00      0.4155    
   49.00      0.3925    
   50.00      0.3665    
   51.00      0.3385    
   52.00      0.3094    
   53.00      0.2802    
   54.00      0.2517    
   55.00      0.2246    
   56.00      0.1995    
   57.00      0.1768    
   58.00      0.1568    
   59.00      0.1397    
   60.00      0.1253    
   61.00      0.1135    
   62.00      0.1041    
   63.00      0.9677E-01
   64.00      0.9108E-01
   65.00      0.8667E-01
   66.00      0.8315E-01
   67.00      0.8020E-01
   68.00      0.7754E-01
   69.00      0.7499E-01
   70.00      0.7239E-01
   71.00      0.6969E-01
   72.00      0.6687E-01
   73.00      0.6394E-01
   74.00      0.6099E-01
   75.00      0.5807E-01
   76.00      0.5528E-01
   77.00      0.5272E-01
   78.00      0.5046E-01
   79.00      0.4857E-01
   80.00      0.4710E-01
 END
