#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8113 keV Jpi=1- l=3 n=2 j=5/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       4.729    
   1.000       4.745    
   2.000       4.792    
   3.000       4.867    
   4.000       4.970    
   5.000       5.095    
   6.000       5.239    
   7.000       5.394    
   8.000       5.556    
   9.000       5.717    
   10.00       5.868    
   11.00       6.004    
   12.00       6.117    
   13.00       6.200    
   14.00       6.246    
   15.00       6.252    
   16.00       6.213    
   17.00       6.125    
   18.00       5.986    
   19.00       5.796    
   20.00       5.555    
   21.00       5.269    
   22.00       4.942    
   23.00       4.582    
   24.00       4.198    
   25.00       3.802    
   26.00       3.404    
   27.00       3.014    
   28.00       2.641    
   29.00       2.294    
   30.00       1.979    
   31.00       1.700    
   32.00       1.460    
   33.00       1.259    
   34.00       1.097    
   35.00      0.9726    
   36.00      0.8818    
   37.00      0.8203    
   38.00      0.7830    
   39.00      0.7640    
   40.00      0.7577    
   41.00      0.7587    
   42.00      0.7623    
   43.00      0.7646    
   44.00      0.7627    
   45.00      0.7546    
   46.00      0.7394    
   47.00      0.7166    
   48.00      0.6865    
   49.00      0.6498    
   50.00      0.6076    
   51.00      0.5614    
   52.00      0.5127    
   53.00      0.4631    
   54.00      0.4142    
   55.00      0.3674    
   56.00      0.3240    
   57.00      0.2848    
   58.00      0.2504    
   59.00      0.2209    
   60.00      0.1963    
   61.00      0.1763    
   62.00      0.1605    
   63.00      0.1482    
   64.00      0.1389    
   65.00      0.1318    
   66.00      0.1264    
   67.00      0.1221    
   68.00      0.1184    
   69.00      0.1150    
   70.00      0.1114    
   71.00      0.1076    
   72.00      0.1034    
   73.00      0.9881E-01
   74.00      0.9392E-01
   75.00      0.8883E-01
   76.00      0.8372E-01
   77.00      0.7874E-01
   78.00      0.7406E-01
   79.00      0.6983E-01
   80.00      0.6616E-01
 END
