#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9226.69 keV Jpi=2+ l=4 n=1 j=7/2"                
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       1.191    
   1.000       1.191    
   2.000       1.190    
   3.000       1.189    
   4.000       1.186    
   5.000       1.182    
   6.000       1.177    
   7.000       1.171    
   8.000       1.164    
   9.000       1.159    
   10.00       1.154    
   11.00       1.152    
   12.00       1.151    
   13.00       1.153    
   14.00       1.156    
   15.00       1.160    
   16.00       1.164    
   17.00       1.167    
   18.00       1.170    
   19.00       1.171    
   20.00       1.169    
   21.00       1.165    
   22.00       1.157    
   23.00       1.145    
   24.00       1.128    
   25.00       1.104    
   26.00       1.075    
   27.00       1.039    
   28.00      0.9977    
   29.00      0.9508    
   30.00      0.8993    
   31.00      0.8442    
   32.00      0.7865    
   33.00      0.7270    
   34.00      0.6668    
   35.00      0.6069    
   36.00      0.5483    
   37.00      0.4919    
   38.00      0.4388    
   39.00      0.3898    
   40.00      0.3453    
   41.00      0.3060    
   42.00      0.2718    
   43.00      0.2427    
   44.00      0.2185    
   45.00      0.1988    
   46.00      0.1832    
   47.00      0.1709    
   48.00      0.1616    
   49.00      0.1547    
   50.00      0.1496    
   51.00      0.1458    
   52.00      0.1428    
   53.00      0.1402    
   54.00      0.1375    
   55.00      0.1345    
   56.00      0.1309    
   57.00      0.1266    
   58.00      0.1217    
   59.00      0.1161    
   60.00      0.1099    
   61.00      0.1034    
   62.00      0.9655E-01
   63.00      0.8962E-01
   64.00      0.8272E-01
   65.00      0.7598E-01
   66.00      0.6953E-01
   67.00      0.6346E-01
   68.00      0.5785E-01
   69.00      0.5277E-01
   70.00      0.4824E-01
   71.00      0.4427E-01
   72.00      0.4086E-01
   73.00      0.3797E-01
   74.00      0.3555E-01
   75.00      0.3355E-01
   76.00      0.3191E-01
   77.00      0.3056E-01
   78.00      0.2945E-01
   79.00      0.2852E-01
   80.00      0.2770E-01
 END
