#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9227.43 keV Jpi=1+ l=2 n=1 j=3/2"                
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       3.483    
   1.000       3.488    
   2.000       3.503    
   3.000       3.526    
   4.000       3.554    
   5.000       3.584    
   6.000       3.612    
   7.000       3.634    
   8.000       3.643    
   9.000       3.636    
   10.00       3.607    
   11.00       3.554    
   12.00       3.473    
   13.00       3.363    
   14.00       3.224    
   15.00       3.059    
   16.00       2.871    
   17.00       2.665    
   18.00       2.446    
   19.00       2.221    
   20.00       1.996    
   21.00       1.778    
   22.00       1.573    
   23.00       1.383    
   24.00       1.214    
   25.00       1.068    
   26.00      0.9446    
   27.00      0.8441    
   28.00      0.7650    
   29.00      0.7049    
   30.00      0.6608    
   31.00      0.6293    
   32.00      0.6071    
   33.00      0.5908    
   34.00      0.5774    
   35.00      0.5644    
   36.00      0.5498    
   37.00      0.5324    
   38.00      0.5114    
   39.00      0.4866    
   40.00      0.4584    
   41.00      0.4272    
   42.00      0.3942    
   43.00      0.3602    
   44.00      0.3262    
   45.00      0.2934    
   46.00      0.2626    
   47.00      0.2345    
   48.00      0.2096    
   49.00      0.1881    
   50.00      0.1702    
   51.00      0.1556    
   52.00      0.1441    
   53.00      0.1353    
   54.00      0.1286    
   55.00      0.1236    
   56.00      0.1197    
   57.00      0.1165    
   58.00      0.1135    
   59.00      0.1104    
   60.00      0.1069    
   61.00      0.1028    
   62.00      0.9816E-01
   63.00      0.9287E-01
   64.00      0.8703E-01
   65.00      0.8076E-01
   66.00      0.7421E-01
   67.00      0.6756E-01
   68.00      0.6098E-01
   69.00      0.5464E-01
   70.00      0.4869E-01
   71.00      0.4324E-01
   72.00      0.3838E-01
   73.00      0.3416E-01
   74.00      0.3060E-01
   75.00      0.2769E-01
   76.00      0.2537E-01
   77.00      0.2360E-01
   78.00      0.2230E-01
   79.00      0.2137E-01
   80.00      0.2073E-01
 END
