#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8935 keV Jpi=2+ l=4 n=1 j=7/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       1.196    
   1.000       1.196    
   2.000       1.194    
   3.000       1.191    
   4.000       1.187    
   5.000       1.182    
   6.000       1.177    
   7.000       1.172    
   8.000       1.167    
   9.000       1.163    
   10.00       1.161    
   11.00       1.161    
   12.00       1.162    
   13.00       1.166    
   14.00       1.171    
   15.00       1.178    
   16.00       1.185    
   17.00       1.193    
   18.00       1.200    
   19.00       1.205    
   20.00       1.208    
   21.00       1.207    
   22.00       1.202    
   23.00       1.192    
   24.00       1.175    
   25.00       1.152    
   26.00       1.123    
   27.00       1.087    
   28.00       1.044    
   29.00      0.9954    
   30.00      0.9416    
   31.00      0.8835    
   32.00      0.8222    
   33.00      0.7587    
   34.00      0.6943    
   35.00      0.6302    
   36.00      0.5677    
   37.00      0.5077    
   38.00      0.4514    
   39.00      0.3995    
   40.00      0.3526    
   41.00      0.3111    
   42.00      0.2752    
   43.00      0.2448    
   44.00      0.2197    
   45.00      0.1994    
   46.00      0.1835    
   47.00      0.1713    
   48.00      0.1623    
   49.00      0.1558    
   50.00      0.1511    
   51.00      0.1477    
   52.00      0.1451    
   53.00      0.1426    
   54.00      0.1400    
   55.00      0.1369    
   56.00      0.1332    
   57.00      0.1287    
   58.00      0.1235    
   59.00      0.1177    
   60.00      0.1112    
   61.00      0.1044    
   62.00      0.9726E-01
   63.00      0.9005E-01
   64.00      0.8290E-01
   65.00      0.7596E-01
   66.00      0.6935E-01
   67.00      0.6317E-01
   68.00      0.5751E-01
   69.00      0.5241E-01
   70.00      0.4791E-01
   71.00      0.4400E-01
   72.00      0.4067E-01
   73.00      0.3787E-01
   74.00      0.3555E-01
   75.00      0.3365E-01
   76.00      0.3209E-01
   77.00      0.3080E-01
   78.00      0.2973E-01
   79.00      0.2881E-01
   80.00      0.2801E-01
 END
