#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8851 keV Jpi=6- l=5 n=1 j=9/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000      0.8852    
   1.000      0.8834    
   2.000      0.8780    
   3.000      0.8693    
   4.000      0.8578    
   5.000      0.8439    
   6.000      0.8283    
   7.000      0.8120    
   8.000      0.7956    
   9.000      0.7801    
   10.00      0.7663    
   11.00      0.7551    
   12.00      0.7472    
   13.00      0.7432    
   14.00      0.7437    
   15.00      0.7489    
   16.00      0.7590    
   17.00      0.7740    
   18.00      0.7936    
   19.00      0.8174    
   20.00      0.8446    
   21.00      0.8746    
   22.00      0.9062    
   23.00      0.9385    
   24.00      0.9704    
   25.00       1.001    
   26.00       1.028    
   27.00       1.052    
   28.00       1.071    
   29.00       1.084    
   30.00       1.092    
   31.00       1.092    
   32.00       1.085    
   33.00       1.071    
   34.00       1.050    
   35.00       1.022    
   36.00      0.9872    
   37.00      0.9464    
   38.00      0.9003    
   39.00      0.8499    
   40.00      0.7961    
   41.00      0.7402    
   42.00      0.6832    
   43.00      0.6263    
   44.00      0.5707    
   45.00      0.5173    
   46.00      0.4670    
   47.00      0.4204    
   48.00      0.3782    
   49.00      0.3406    
   50.00      0.3078    
   51.00      0.2797    
   52.00      0.2563    
   53.00      0.2372    
   54.00      0.2220    
   55.00      0.2104    
   56.00      0.2017    
   57.00      0.1956    
   58.00      0.1914    
   59.00      0.1887    
   60.00      0.1869    
   61.00      0.1856    
   62.00      0.1845    
   63.00      0.1831    
   64.00      0.1813    
   65.00      0.1789    
   66.00      0.1758    
   67.00      0.1719    
   68.00      0.1671    
   69.00      0.1617    
   70.00      0.1556    
   71.00      0.1491    
   72.00      0.1421    
   73.00      0.1349    
   74.00      0.1276    
   75.00      0.1204    
   76.00      0.1133    
   77.00      0.1065    
   78.00      0.1001    
   79.00      0.9410E-01
   80.00      0.8858E-01
 END
