#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8935 keV Jpi=2+ l=0 n=3 j=1/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       47.87    
   1.000       47.28    
   2.000       45.56    
   3.000       42.82    
   4.000       39.23    
   5.000       35.00    
   6.000       30.40    
   7.000       25.66    
   8.000       21.03    
   9.000       16.73    
   10.00       12.91    
   11.00       9.688    
   12.00       7.115    
   13.00       5.190    
   14.00       3.867    
   15.00       3.062    
   16.00       2.670    
   17.00       2.577    
   18.00       2.673    
   19.00       2.859    
   20.00       3.057    
   21.00       3.211    
   22.00       3.290    
   23.00       3.281    
   24.00       3.192    
   25.00       3.041    
   26.00       2.852    
   27.00       2.655    
   28.00       2.473    
   29.00       2.328    
   30.00       2.232    
   31.00       2.193    
   32.00       2.207    
   33.00       2.267    
   34.00       2.362    
   35.00       2.476    
   36.00       2.594    
   37.00       2.699    
   38.00       2.779    
   39.00       2.824    
   40.00       2.826    
   41.00       2.782    
   42.00       2.693    
   43.00       2.561    
   44.00       2.393    
   45.00       2.195    
   46.00       1.977    
   47.00       1.748    
   48.00       1.515    
   49.00       1.289    
   50.00       1.074    
   51.00      0.8783    
   52.00      0.7048    
   53.00      0.5565    
   54.00      0.4348    
   55.00      0.3399    
   56.00      0.2707    
   57.00      0.2252    
   58.00      0.2010    
   59.00      0.1950    
   60.00      0.2039    
   61.00      0.2244    
   62.00      0.2531    
   63.00      0.2869    
   64.00      0.3230    
   65.00      0.3589    
   66.00      0.3925    
   67.00      0.4220    
   68.00      0.4463    
   69.00      0.4644    
   70.00      0.4758    
   71.00      0.4803    
   72.00      0.4780    
   73.00      0.4692    
   74.00      0.4544    
   75.00      0.4345    
   76.00      0.4101    
   77.00      0.3823    
   78.00      0.3519    
   79.00      0.3198    
   80.00      0.2871    
 END
