#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8665 keV Jpi=1- l=1 n=2 j=3/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       12.73    
   1.000       12.71    
   2.000       12.66    
   3.000       12.57    
   4.000       12.42    
   5.000       12.20    
   6.000       11.90    
   7.000       11.50    
   8.000       11.00    
   9.000       10.39    
   10.00       9.696    
   11.00       8.921    
   12.00       8.095    
   13.00       7.249    
   14.00       6.416    
   15.00       5.628    
   16.00       4.914    
   17.00       4.294    
   18.00       3.781    
   19.00       3.381    
   20.00       3.088    
   21.00       2.892    
   22.00       2.777    
   23.00       2.723    
   24.00       2.708    
   25.00       2.712    
   26.00       2.717    
   27.00       2.707    
   28.00       2.672    
   29.00       2.604    
   30.00       2.502    
   31.00       2.367    
   32.00       2.205    
   33.00       2.022    
   34.00       1.826    
   35.00       1.626    
   36.00       1.431    
   37.00       1.246    
   38.00       1.077    
   39.00      0.9287    
   40.00      0.8026    
   41.00      0.6994    
   42.00      0.6180    
   43.00      0.5567    
   44.00      0.5125    
   45.00      0.4823    
   46.00      0.4625    
   47.00      0.4502    
   48.00      0.4422    
   49.00      0.4362    
   50.00      0.4303    
   51.00      0.4231    
   52.00      0.4139    
   53.00      0.4023    
   54.00      0.3884    
   55.00      0.3726    
   56.00      0.3554    
   57.00      0.3375    
   58.00      0.3196    
   59.00      0.3025    
   60.00      0.2865    
   61.00      0.2722    
   62.00      0.2598    
   63.00      0.2493    
   64.00      0.2406    
   65.00      0.2337    
   66.00      0.2283    
   67.00      0.2239    
   68.00      0.2202    
   69.00      0.2168    
   70.00      0.2135    
   71.00      0.2098    
   72.00      0.2056    
   73.00      0.2005    
   74.00      0.1946    
   75.00      0.1877    
   76.00      0.1799    
   77.00      0.1713    
   78.00      0.1620    
   79.00      0.1522    
   80.00      0.1421    
 END
