#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 7973 keV Jpi=3- l=3 n=2 j=7/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       11.91    
   1.000       11.93    
   2.000       12.01    
   3.000       12.14    
   4.000       12.31    
   5.000       12.52    
   6.000       12.75    
   7.000       13.00    
   8.000       13.26    
   9.000       13.51    
   10.00       13.74    
   11.00       13.94    
   12.00       14.09    
   13.00       14.19    
   14.00       14.21    
   15.00       14.15    
   16.00       13.99    
   17.00       13.74    
   18.00       13.38    
   19.00       12.92    
   20.00       12.37    
   21.00       11.74    
   22.00       11.04    
   23.00       10.28    
   24.00       9.479    
   25.00       8.654    
   26.00       7.822    
   27.00       7.000    
   28.00       6.208    
   29.00       5.460    
   30.00       4.773    
   31.00       4.158    
   32.00       3.624    
   33.00       3.173    
   34.00       2.805    
   35.00       2.516    
   36.00       2.297    
   37.00       2.138    
   38.00       2.028    
   39.00       1.954    
   40.00       1.906    
   41.00       1.874    
   42.00       1.848    
   43.00       1.821    
   44.00       1.789    
   45.00       1.745    
   46.00       1.689    
   47.00       1.618    
   48.00       1.532    
   49.00       1.433    
   50.00       1.324    
   51.00       1.208    
   52.00       1.089    
   53.00      0.9701    
   54.00      0.8564    
   55.00      0.7507    
   56.00      0.6555    
   57.00      0.5724    
   58.00      0.5024    
   59.00      0.4454    
   60.00      0.4008    
   61.00      0.3674    
   62.00      0.3438    
   63.00      0.3283    
   64.00      0.3191    
   65.00      0.3145    
   66.00      0.3127    
   67.00      0.3124    
   68.00      0.3122    
   69.00      0.3111    
   70.00      0.3083    
   71.00      0.3034    
   72.00      0.2960    
   73.00      0.2862    
   74.00      0.2744    
   75.00      0.2607    
   76.00      0.2459    
   77.00      0.2304    
   78.00      0.2147    
   79.00      0.1996    
   80.00      0.1854    
 END
