#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8188 keV Jpi=3+ l=2 n=1 j=3/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       10.36    
   1.000       10.39    
   2.000       10.47    
   3.000       10.60    
   4.000       10.76    
   5.000       10.94    
   6.000       11.12    
   7.000       11.29    
   8.000       11.41    
   9.000       11.49    
   10.00       11.49    
   11.00       11.41    
   12.00       11.24    
   13.00       10.95    
   14.00       10.56    
   15.00       10.07    
   16.00       9.471    
   17.00       8.795    
   18.00       8.057    
   19.00       7.284    
   20.00       6.502    
   21.00       5.738    
   22.00       5.015    
   23.00       4.354    
   24.00       3.768    
   25.00       3.266    
   26.00       2.851    
   27.00       2.519    
   28.00       2.265    
   29.00       2.078    
   30.00       1.948    
   31.00       1.861    
   32.00       1.805    
   33.00       1.767    
   34.00       1.738    
   35.00       1.707    
   36.00       1.667    
   37.00       1.615    
   38.00       1.547    
   39.00       1.464    
   40.00       1.368    
   41.00       1.262    
   42.00       1.150    
   43.00       1.036    
   44.00      0.9243    
   45.00      0.8182    
   46.00      0.7208    
   47.00      0.6340    
   48.00      0.5592    
   49.00      0.4968    
   50.00      0.4465    
   51.00      0.4076    
   52.00      0.3786    
   53.00      0.3578    
   54.00      0.3434    
   55.00      0.3333    
   56.00      0.3257    
   57.00      0.3189    
   58.00      0.3116    
   59.00      0.3027    
   60.00      0.2917    
   61.00      0.2784    
   62.00      0.2628    
   63.00      0.2453    
   64.00      0.2263    
   65.00      0.2064    
   66.00      0.1863    
   67.00      0.1665    
   68.00      0.1476    
   69.00      0.1300    
   70.00      0.1142    
   71.00      0.1005    
   72.00      0.8894E-01
   73.00      0.7966E-01
   74.00      0.7255E-01
   75.00      0.6744E-01
   76.00      0.6403E-01
   77.00      0.6201E-01
   78.00      0.6099E-01
   79.00      0.6064E-01
   80.00      0.6061E-01
 END
