#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8188 keV Jpi=3+ l=2 n=2 j=5/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       24.12    
   1.000       24.18    
   2.000       24.36    
   3.000       24.65    
   4.000       25.02    
   5.000       25.45    
   6.000       25.90    
   7.000       26.34    
   8.000       26.71    
   9.000       26.96    
   10.00       27.05    
   11.00       26.92    
   12.00       26.55    
   13.00       25.92    
   14.00       25.02    
   15.00       23.86    
   16.00       22.48    
   17.00       20.91    
   18.00       19.20    
   19.00       17.41    
   20.00       15.59    
   21.00       13.80    
   22.00       12.08    
   23.00       10.49    
   24.00       9.065    
   25.00       7.820    
   26.00       6.769    
   27.00       5.914    
   28.00       5.242    
   29.00       4.736    
   30.00       4.368    
   31.00       4.111    
   32.00       3.936    
   33.00       3.815    
   34.00       3.722    
   35.00       3.639    
   36.00       3.547    
   37.00       3.437    
   38.00       3.301    
   39.00       3.138    
   40.00       2.949    
   41.00       2.739    
   42.00       2.516    
   43.00       2.287    
   44.00       2.060    
   45.00       1.843    
   46.00       1.641    
   47.00       1.460    
   48.00       1.301    
   49.00       1.168    
   50.00       1.058    
   51.00      0.9717    
   52.00      0.9053    
   53.00      0.8556    
   54.00      0.8190    
   55.00      0.7914    
   56.00      0.7691    
   57.00      0.7487    
   58.00      0.7278    
   59.00      0.7043    
   60.00      0.6773    
   61.00      0.6464    
   62.00      0.6116    
   63.00      0.5737    
   64.00      0.5336    
   65.00      0.4925    
   66.00      0.4517    
   67.00      0.4126    
   68.00      0.3764    
   69.00      0.3444    
   70.00      0.3173    
   71.00      0.2958    
   72.00      0.2799    
   73.00      0.2695    
   74.00      0.2642    
   75.00      0.2633    
   76.00      0.2660    
   77.00      0.2714    
   78.00      0.2785    
   79.00      0.2865    
   80.00      0.2945    
 END
