#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9227.43 keV Jpi=2+ l=0 n=4 j=1/2"                
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       46.93    
   1.000       46.32    
   2.000       44.51    
   3.000       41.65    
   4.000       37.91    
   5.000       33.54    
   6.000       28.80    
   7.000       23.99    
   8.000       19.35    
   9.000       15.12    
   10.00       11.46    
   11.00       8.493    
   12.00       6.259    
   13.00       4.746    
   14.00       3.890    
   15.00       3.583    
   16.00       3.695    
   17.00       4.085    
   18.00       4.619    
   19.00       5.177    
   20.00       5.663    
   21.00       6.012    
   22.00       6.187    
   23.00       6.178    
   24.00       6.000    
   25.00       5.681    
   26.00       5.261    
   27.00       4.783    
   28.00       4.291    
   29.00       3.821    
   30.00       3.401    
   31.00       3.050    
   32.00       2.779    
   33.00       2.587    
   34.00       2.468    
   35.00       2.409    
   36.00       2.396    
   37.00       2.409    
   38.00       2.435    
   39.00       2.456    
   40.00       2.463    
   41.00       2.445    
   42.00       2.397    
   43.00       2.319    
   44.00       2.210    
   45.00       2.075    
   46.00       1.918    
   47.00       1.746    
   48.00       1.566    
   49.00       1.384    
   50.00       1.208    
   51.00       1.042    
   52.00      0.8913    
   53.00      0.7593    
   54.00      0.6483    
   55.00      0.5592    
   56.00      0.4921    
   57.00      0.4461    
   58.00      0.4195    
   59.00      0.4102    
   60.00      0.4156    
   61.00      0.4326    
   62.00      0.4584    
   63.00      0.4900    
   64.00      0.5245    
   65.00      0.5593    
   66.00      0.5921    
   67.00      0.6208    
   68.00      0.6439    
   69.00      0.6601    
   70.00      0.6686    
   71.00      0.6689    
   72.00      0.6610    
   73.00      0.6451    
   74.00      0.6216    
   75.00      0.5914    
   76.00      0.5555    
   77.00      0.5148    
   78.00      0.4706    
   79.00      0.4242    
   80.00      0.3769    
 END
