#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9226.69 keV Jpi=2- l=3 n=1 j=7/2"                
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       3.226    
   1.000       3.228    
   2.000       3.237    
   3.000       3.251    
   4.000       3.269    
   5.000       3.291    
   6.000       3.316    
   7.000       3.342    
   8.000       3.368    
   9.000       3.390    
   10.00       3.407    
   11.00       3.416    
   12.00       3.416    
   13.00       3.404    
   14.00       3.379    
   15.00       3.339    
   16.00       3.282    
   17.00       3.209    
   18.00       3.118    
   19.00       3.010    
   20.00       2.885    
   21.00       2.744    
   22.00       2.590    
   23.00       2.425    
   24.00       2.253    
   25.00       2.076    
   26.00       1.897    
   27.00       1.721    
   28.00       1.551    
   29.00       1.390    
   30.00       1.240    
   31.00       1.104    
   32.00      0.9828    
   33.00      0.8771    
   34.00      0.7873    
   35.00      0.7129    
   36.00      0.6527    
   37.00      0.6053    
   38.00      0.5691    
   39.00      0.5419    
   40.00      0.5219    
   41.00      0.5069    
   42.00      0.4951    
   43.00      0.4849    
   44.00      0.4748    
   45.00      0.4637    
   46.00      0.4508    
   47.00      0.4355    
   48.00      0.4176    
   49.00      0.3973    
   50.00      0.3747    
   51.00      0.3503    
   52.00      0.3248    
   53.00      0.2986    
   54.00      0.2725    
   55.00      0.2470    
   56.00      0.2226    
   57.00      0.1997    
   58.00      0.1787    
   59.00      0.1597    
   60.00      0.1429    
   61.00      0.1283    
   62.00      0.1159    
   63.00      0.1054    
   64.00      0.9665E-01
   65.00      0.8950E-01
   66.00      0.8365E-01
   67.00      0.7884E-01
   68.00      0.7483E-01
   69.00      0.7140E-01
   70.00      0.6838E-01
   71.00      0.6561E-01
   72.00      0.6300E-01
   73.00      0.6048E-01
   74.00      0.5800E-01
   75.00      0.5558E-01
   76.00      0.5321E-01
   77.00      0.5093E-01
   78.00      0.4878E-01
   79.00      0.4680E-01
   80.00      0.4502E-01
 END
