#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9538 keV Jpi=1- l=1 n=3 j=1/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       17.20    
   1.000       17.13    
   2.000       16.95    
   3.000       16.63    
   4.000       16.19    
   5.000       15.62    
   6.000       14.93    
   7.000       14.13    
   8.000       13.22    
   9.000       12.21    
   10.00       11.14    
   11.00       10.02    
   12.00       8.893    
   13.00       7.784    
   14.00       6.729    
   15.00       5.757    
   16.00       4.894    
   17.00       4.158    
   18.00       3.557    
   19.00       3.092    
   20.00       2.756    
   21.00       2.534    
   22.00       2.407    
   23.00       2.354    
   24.00       2.352    
   25.00       2.379    
   26.00       2.415    
   27.00       2.444    
   28.00       2.453    
   29.00       2.433    
   30.00       2.382    
   31.00       2.298    
   32.00       2.183    
   33.00       2.045    
   34.00       1.889    
   35.00       1.724    
   36.00       1.556    
   37.00       1.393    
   38.00       1.241    
   39.00       1.103    
   40.00      0.9817    
   41.00      0.8791    
   42.00      0.7947    
   43.00      0.7275    
   44.00      0.6754    
   45.00      0.6361    
   46.00      0.6068    
   47.00      0.5847    
   48.00      0.5673    
   49.00      0.5522    
   50.00      0.5378    
   51.00      0.5227    
   52.00      0.5061    
   53.00      0.4878    
   54.00      0.4678    
   55.00      0.4464    
   56.00      0.4243    
   57.00      0.4019    
   58.00      0.3799    
   59.00      0.3588    
   60.00      0.3391    
   61.00      0.3211    
   62.00      0.3049    
   63.00      0.2907    
   64.00      0.2783    
   65.00      0.2676    
   66.00      0.2581    
   67.00      0.2496    
   68.00      0.2415    
   69.00      0.2336    
   70.00      0.2255    
   71.00      0.2169    
   72.00      0.2076    
   73.00      0.1975    
   74.00      0.1866    
   75.00      0.1749    
   76.00      0.1627    
   77.00      0.1499    
   78.00      0.1369    
   79.00      0.1238    
   80.00      0.1110    
 END
