#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8938 keV Jpi=0+ l=2 n=3 j=3/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       5.271    
   1.000       5.275    
   2.000       5.287    
   3.000       5.304    
   4.000       5.324    
   5.000       5.342    
   6.000       5.353    
   7.000       5.354    
   8.000       5.337    
   9.000       5.298    
   10.00       5.232    
   11.00       5.135    
   12.00       5.003    
   13.00       4.836    
   14.00       4.634    
   15.00       4.398    
   16.00       4.134    
   17.00       3.848    
   18.00       3.546    
   19.00       3.238    
   20.00       2.932    
   21.00       2.636    
   22.00       2.356    
   23.00       2.100    
   24.00       1.870    
   25.00       1.670    
   26.00       1.500    
   27.00       1.359    
   28.00       1.244    
   29.00       1.153    
   30.00       1.080    
   31.00       1.022    
   32.00      0.9732    
   33.00      0.9306    
   34.00      0.8902    
   35.00      0.8491    
   36.00      0.8052    
   37.00      0.7575    
   38.00      0.7057    
   39.00      0.6502    
   40.00      0.5921    
   41.00      0.5326    
   42.00      0.4734    
   43.00      0.4162    
   44.00      0.3625    
   45.00      0.3137    
   46.00      0.2709    
   47.00      0.2346    
   48.00      0.2054    
   49.00      0.1830    
   50.00      0.1673    
   51.00      0.1574    
   52.00      0.1525    
   53.00      0.1516    
   54.00      0.1536    
   55.00      0.1574    
   56.00      0.1620    
   57.00      0.1664    
   58.00      0.1700    
   59.00      0.1722    
   60.00      0.1725    
   61.00      0.1709    
   62.00      0.1671    
   63.00      0.1613    
   64.00      0.1538    
   65.00      0.1448    
   66.00      0.1348    
   67.00      0.1240    
   68.00      0.1130    
   69.00      0.1020    
   70.00      0.9138E-01
   71.00      0.8145E-01
   72.00      0.7240E-01
   73.00      0.6435E-01
   74.00      0.5737E-01
   75.00      0.5148E-01
   76.00      0.4664E-01
   77.00      0.4276E-01
   78.00      0.3975E-01
   79.00      0.3746E-01
   80.00      0.3576E-01
 END
