#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9092 keV Jpi=3- l=3 n=1 j=7/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       4.608    
   1.000       4.612    
   2.000       4.625    
   3.000       4.646    
   4.000       4.674    
   5.000       4.708    
   6.000       4.746    
   7.000       4.787    
   8.000       4.827    
   9.000       4.863    
   10.00       4.892    
   11.00       4.911    
   12.00       4.916    
   13.00       4.904    
   14.00       4.874    
   15.00       4.821    
   16.00       4.744    
   17.00       4.643    
   18.00       4.515    
   19.00       4.361    
   20.00       4.182    
   21.00       3.979    
   22.00       3.757    
   23.00       3.518    
   24.00       3.266    
   25.00       3.008    
   26.00       2.748    
   27.00       2.491    
   28.00       2.242    
   29.00       2.007    
   30.00       1.788    
   31.00       1.588    
   32.00       1.411    
   33.00       1.257    
   34.00       1.126    
   35.00       1.018    
   36.00      0.9305    
   37.00      0.8622    
   38.00      0.8101    
   39.00      0.7714    
   40.00      0.7429    
   41.00      0.7219    
   42.00      0.7054    
   43.00      0.6911    
   44.00      0.6769    
   45.00      0.6610    
   46.00      0.6424    
   47.00      0.6204    
   48.00      0.5945    
   49.00      0.5650    
   50.00      0.5323    
   51.00      0.4970    
   52.00      0.4600    
   53.00      0.4223    
   54.00      0.3846    
   55.00      0.3480    
   56.00      0.3130    
   57.00      0.2804    
   58.00      0.2505    
   59.00      0.2237    
   60.00      0.2001    
   61.00      0.1796    
   62.00      0.1622    
   63.00      0.1477    
   64.00      0.1357    
   65.00      0.1259    
   66.00      0.1179    
   67.00      0.1113    
   68.00      0.1058    
   69.00      0.1011    
   70.00      0.9698E-01
   71.00      0.9313E-01
   72.00      0.8945E-01
   73.00      0.8586E-01
   74.00      0.8233E-01
   75.00      0.7884E-01
   76.00      0.7544E-01
   77.00      0.7217E-01
   78.00      0.6909E-01
   79.00      0.6627E-01
   80.00      0.6376E-01
 END
