#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 7623 keV Jpi=4+ l=2 n=2 j=5/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       28.00    
   1.000       28.09    
   2.000       28.36    
   3.000       28.80    
   4.000       29.38    
   5.000       30.06    
   6.000       30.79    
   7.000       31.53    
   8.000       32.22    
   9.000       32.77    
   10.00       33.14    
   11.00       33.26    
   12.00       33.08    
   13.00       32.56    
   14.00       31.68    
   15.00       30.43    
   16.00       28.84    
   17.00       26.93    
   18.00       24.78    
   19.00       22.46    
   20.00       20.06    
   21.00       17.65    
   22.00       15.34    
   23.00       13.18    
   24.00       11.24    
   25.00       9.547    
   26.00       8.131    
   27.00       6.989    
   28.00       6.106    
   29.00       5.457    
   30.00       5.007    
   31.00       4.717    
   32.00       4.546    
   33.00       4.452    
   34.00       4.399    
   35.00       4.355    
   36.00       4.295    
   37.00       4.200    
   38.00       4.061    
   39.00       3.876    
   40.00       3.649    
   41.00       3.389    
   42.00       3.106    
   43.00       2.812    
   44.00       2.521    
   45.00       2.243    
   46.00       1.986    
   47.00       1.757    
   48.00       1.559    
   49.00       1.396    
   50.00       1.265    
   51.00       1.166    
   52.00       1.093    
   53.00       1.043    
   54.00       1.008    
   55.00      0.9839    
   56.00      0.9649    
   57.00      0.9463    
   58.00      0.9245    
   59.00      0.8973    
   60.00      0.8635    
   61.00      0.8229    
   62.00      0.7763    
   63.00      0.7249    
   64.00      0.6704    
   65.00      0.6148    
   66.00      0.5601    
   67.00      0.5081    
   68.00      0.4606    
   69.00      0.4192    
   70.00      0.3848    
   71.00      0.3582    
   72.00      0.3395    
   73.00      0.3285    
   74.00      0.3246    
   75.00      0.3265    
   76.00      0.3331    
   77.00      0.3430    
   78.00      0.3547    
   79.00      0.3669    
   80.00      0.3783    
 END
