#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8484 keV Jpi=1- l=1 n=2 j=3/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       13.82    
   1.000       13.81    
   2.000       13.78    
   3.000       13.71    
   4.000       13.59    
   5.000       13.39    
   6.000       13.09    
   7.000       12.67    
   8.000       12.13    
   9.000       11.47    
   10.00       10.70    
   11.00       9.844    
   12.00       8.926    
   13.00       7.984    
   14.00       7.053    
   15.00       6.170    
   16.00       5.366    
   17.00       4.665    
   18.00       4.083    
   19.00       3.627    
   20.00       3.295    
   21.00       3.074    
   22.00       2.945    
   23.00       2.887    
   24.00       2.874    
   25.00       2.883    
   26.00       2.891    
   27.00       2.883    
   28.00       2.845    
   29.00       2.772    
   30.00       2.661    
   31.00       2.515    
   32.00       2.339    
   33.00       2.140    
   34.00       1.929    
   35.00       1.713    
   36.00       1.503    
   37.00       1.304    
   38.00       1.124    
   39.00      0.9668    
   40.00      0.8340    
   41.00      0.7264    
   42.00      0.6426    
   43.00      0.5804    
   44.00      0.5364    
   45.00      0.5070    
   46.00      0.4885    
   47.00      0.4773    
   48.00      0.4703    
   49.00      0.4648    
   50.00      0.4590    
   51.00      0.4513    
   52.00      0.4411    
   53.00      0.4279    
   54.00      0.4120    
   55.00      0.3939    
   56.00      0.3743    
   57.00      0.3541    
   58.00      0.3340    
   59.00      0.3149    
   60.00      0.2974    
   61.00      0.2818    
   62.00      0.2684    
   63.00      0.2573    
   64.00      0.2484    
   65.00      0.2414    
   66.00      0.2359    
   67.00      0.2317    
   68.00      0.2283    
   69.00      0.2253    
   70.00      0.2223    
   71.00      0.2188    
   72.00      0.2147    
   73.00      0.2097    
   74.00      0.2036    
   75.00      0.1964    
   76.00      0.1882    
   77.00      0.1790    
   78.00      0.1691    
   79.00      0.1587    
   80.00      0.1479    
 END
