#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8551 keV Jpi=5- l=5 n=1 j=11/2"                  
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000      0.5086    
   1.000      0.5086    
   2.000      0.5087    
   3.000      0.5091    
   4.000      0.5097    
   5.000      0.5108    
   6.000      0.5127    
   7.000      0.5156    
   8.000      0.5198    
   9.000      0.5256    
   10.00      0.5334    
   11.00      0.5432    
   12.00      0.5554    
   13.00      0.5701    
   14.00      0.5872    
   15.00      0.6066    
   16.00      0.6283    
   17.00      0.6519    
   18.00      0.6771    
   19.00      0.7036    
   20.00      0.7310    
   21.00      0.7586    
   22.00      0.7861    
   23.00      0.8128    
   24.00      0.8381    
   25.00      0.8614    
   26.00      0.8821    
   27.00      0.8994    
   28.00      0.9128    
   29.00      0.9217    
   30.00      0.9255    
   31.00      0.9238    
   32.00      0.9164    
   33.00      0.9031    
   34.00      0.8839    
   35.00      0.8590    
   36.00      0.8288    
   37.00      0.7937    
   38.00      0.7545    
   39.00      0.7119    
   40.00      0.6669    
   41.00      0.6202    
   42.00      0.5728    
   43.00      0.5257    
   44.00      0.4796    
   45.00      0.4353    
   46.00      0.3934    
   47.00      0.3544    
   48.00      0.3188    
   49.00      0.2870    
   50.00      0.2589    
   51.00      0.2347    
   52.00      0.2143    
   53.00      0.1976    
   54.00      0.1842    
   55.00      0.1738    
   56.00      0.1660    
   57.00      0.1604    
   58.00      0.1565    
   59.00      0.1540    
   60.00      0.1523    
   61.00      0.1512    
   62.00      0.1502    
   63.00      0.1492    
   64.00      0.1480    
   65.00      0.1463    
   66.00      0.1441    
   67.00      0.1413    
   68.00      0.1380    
   69.00      0.1342    
   70.00      0.1299    
   71.00      0.1253    
   72.00      0.1203    
   73.00      0.1152    
   74.00      0.1101    
   75.00      0.1049    
   76.00      0.9984E-01
   77.00      0.9496E-01
   78.00      0.9030E-01
   79.00      0.8591E-01
   80.00      0.8180E-01
 END
