#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8935 keV Jpi=2+ l=2 n=3 j=3/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       26.41    
   1.000       26.42    
   2.000       26.48    
   3.000       26.56    
   4.000       26.65    
   5.000       26.74    
   6.000       26.79    
   7.000       26.80    
   8.000       26.72    
   9.000       26.53    
   10.00       26.20    
   11.00       25.72    
   12.00       25.06    
   13.00       24.22    
   14.00       23.21    
   15.00       22.03    
   16.00       20.70    
   17.00       19.26    
   18.00       17.75    
   19.00       16.21    
   20.00       14.68    
   21.00       13.19    
   22.00       11.80    
   23.00       10.51    
   24.00       9.363    
   25.00       8.360    
   26.00       7.507    
   27.00       6.800    
   28.00       6.226    
   29.00       5.767    
   30.00       5.404    
   31.00       5.113    
   32.00       4.871    
   33.00       4.658    
   34.00       4.456    
   35.00       4.250    
   36.00       4.030    
   37.00       3.791    
   38.00       3.532    
   39.00       3.254    
   40.00       2.963    
   41.00       2.665    
   42.00       2.369    
   43.00       2.083    
   44.00       1.814    
   45.00       1.570    
   46.00       1.355    
   47.00       1.174    
   48.00       1.028    
   49.00      0.9159    
   50.00      0.8370    
   51.00      0.7876    
   52.00      0.7632    
   53.00      0.7587    
   54.00      0.7686    
   55.00      0.7876    
   56.00      0.8104    
   57.00      0.8328    
   58.00      0.8508    
   59.00      0.8616    
   60.00      0.8633    
   61.00      0.8548    
   62.00      0.8359    
   63.00      0.8071    
   64.00      0.7694    
   65.00      0.7245    
   66.00      0.6741    
   67.00      0.6203    
   68.00      0.5650    
   69.00      0.5100    
   70.00      0.4570    
   71.00      0.4073    
   72.00      0.3620    
   73.00      0.3217    
   74.00      0.2868    
   75.00      0.2573    
   76.00      0.2332    
   77.00      0.2139    
   78.00      0.1988    
   79.00      0.1874    
   80.00      0.1789    
 END
