#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9226.69 keV Jpi=1- l=1 n=2 j=1/2"                
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       10.82    
   1.000       10.79    
   2.000       10.69    
   3.000       10.52    
   4.000       10.27    
   5.000       9.947    
   6.000       9.542    
   7.000       9.058    
   8.000       8.500    
   9.000       7.879    
   10.00       7.209    
   11.00       6.510    
   12.00       5.804    
   13.00       5.115    
   14.00       4.465    
   15.00       3.875    
   16.00       3.363    
   17.00       2.938    
   18.00       2.607    
   19.00       2.368    
   20.00       2.216    
   21.00       2.138    
   22.00       2.120    
   23.00       2.145    
   24.00       2.197    
   25.00       2.257    
   26.00       2.311    
   27.00       2.348    
   28.00       2.357    
   29.00       2.335    
   30.00       2.279    
   31.00       2.190    
   32.00       2.073    
   33.00       1.931    
   34.00       1.773    
   35.00       1.604    
   36.00       1.431    
   37.00       1.261    
   38.00       1.099    
   39.00      0.9482    
   40.00      0.8119    
   41.00      0.6918    
   42.00      0.5882    
   43.00      0.5010    
   44.00      0.4291    
   45.00      0.3709    
   46.00      0.3247    
   47.00      0.2887    
   48.00      0.2610    
   49.00      0.2400    
   50.00      0.2244    
   51.00      0.2131    
   52.00      0.2052    
   53.00      0.2000    
   54.00      0.1973    
   55.00      0.1965    
   56.00      0.1977    
   57.00      0.2006    
   58.00      0.2051    
   59.00      0.2109    
   60.00      0.2178    
   61.00      0.2255    
   62.00      0.2336    
   63.00      0.2417    
   64.00      0.2493    
   65.00      0.2560    
   66.00      0.2612    
   67.00      0.2646    
   68.00      0.2659    
   69.00      0.2649    
   70.00      0.2613    
   71.00      0.2551    
   72.00      0.2464    
   73.00      0.2354    
   74.00      0.2222    
   75.00      0.2073    
   76.00      0.1910    
   77.00      0.1737    
   78.00      0.1559    
   79.00      0.1380    
   80.00      0.1205    
 END
