#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8935 keV Jpi=2+ l=4 n=2 j=7/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       2.889    
   1.000       2.894    
   2.000       2.909    
   3.000       2.933    
   4.000       2.965    
   5.000       3.005    
   6.000       3.051    
   7.000       3.102    
   8.000       3.156    
   9.000       3.212    
   10.00       3.268    
   11.00       3.323    
   12.00       3.375    
   13.00       3.423    
   14.00       3.467    
   15.00       3.503    
   16.00       3.533    
   17.00       3.554    
   18.00       3.565    
   19.00       3.565    
   20.00       3.553    
   21.00       3.528    
   22.00       3.488    
   23.00       3.433    
   24.00       3.361    
   25.00       3.272    
   26.00       3.167    
   27.00       3.044    
   28.00       2.906    
   29.00       2.754    
   30.00       2.590    
   31.00       2.417    
   32.00       2.237    
   33.00       2.054    
   34.00       1.872    
   35.00       1.694    
   36.00       1.522    
   37.00       1.359    
   38.00       1.208    
   39.00       1.070    
   40.00      0.9459    
   41.00      0.8369    
   42.00      0.7431    
   43.00      0.6640    
   44.00      0.5989    
   45.00      0.5469    
   46.00      0.5064    
   47.00      0.4758    
   48.00      0.4533    
   49.00      0.4371    
   50.00      0.4253    
   51.00      0.4163    
   52.00      0.4087    
   53.00      0.4013    
   54.00      0.3931    
   55.00      0.3834    
   56.00      0.3720    
   57.00      0.3586    
   58.00      0.3432    
   59.00      0.3260    
   60.00      0.3074    
   61.00      0.2877    
   62.00      0.2675    
   63.00      0.2471    
   64.00      0.2271    
   65.00      0.2079    
   66.00      0.1898    
   67.00      0.1733    
   68.00      0.1584    
   69.00      0.1453    
   70.00      0.1340    
   71.00      0.1244    
   72.00      0.1165    
   73.00      0.1100    
   74.00      0.1047    
   75.00      0.1004    
   76.00      0.9686E-01
   77.00      0.9386E-01
   78.00      0.9118E-01
   79.00      0.8867E-01
   80.00      0.8616E-01
 END
