#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 7623 keV Jpi=2- l=1 n=2 j=3/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       25.34    
   1.000       25.40    
   2.000       25.57    
   3.000       25.81    
   4.000       26.04    
   5.000       26.17    
   6.000       26.11    
   7.000       25.79    
   8.000       25.15    
   9.000       24.15    
   10.00       22.79    
   11.00       21.12    
   12.00       19.20    
   13.00       17.12    
   14.00       14.99    
   15.00       12.91    
   16.00       10.97    
   17.00       9.257    
   18.00       7.821    
   19.00       6.690    
   20.00       5.865    
   21.00       5.322    
   22.00       5.020    
   23.00       4.905    
   24.00       4.917    
   25.00       4.997    
   26.00       5.090    
   27.00       5.153    
   28.00       5.153    
   29.00       5.069    
   30.00       4.896    
   31.00       4.638    
   32.00       4.307    
   33.00       3.922    
   34.00       3.505    
   35.00       3.078    
   36.00       2.662    
   37.00       2.275    
   38.00       1.930    
   39.00       1.635    
   40.00       1.395    
   41.00       1.209    
   42.00       1.073    
   43.00      0.9816    
   44.00      0.9260    
   45.00      0.8974    
   46.00      0.8869    
   47.00      0.8863    
   48.00      0.8886    
   49.00      0.8884    
   50.00      0.8819    
   51.00      0.8670    
   52.00      0.8429    
   53.00      0.8102    
   54.00      0.7703    
   55.00      0.7254    
   56.00      0.6778    
   57.00      0.6298    
   58.00      0.5837    
   59.00      0.5414    
   60.00      0.5043    
   61.00      0.4733    
   62.00      0.4487    
   63.00      0.4304    
   64.00      0.4179    
   65.00      0.4104    
   66.00      0.4068    
   67.00      0.4058    
   68.00      0.4062    
   69.00      0.4068    
   70.00      0.4066    
   71.00      0.4048    
   72.00      0.4006    
   73.00      0.3937    
   74.00      0.3839    
   75.00      0.3712    
   76.00      0.3557    
   77.00      0.3379    
   78.00      0.3181    
   79.00      0.2969    
   80.00      0.2748    
 END
