#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8995 keV Jpi=2+ l=2 n=2 j=3/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       14.78    
   1.000       14.80    
   2.000       14.85    
   3.000       14.94    
   4.000       15.05    
   5.000       15.16    
   6.000       15.27    
   7.000       15.34    
   8.000       15.37    
   9.000       15.33    
   10.00       15.20    
   11.00       14.98    
   12.00       14.64    
   13.00       14.20    
   14.00       13.64    
   15.00       12.97    
   16.00       12.21    
   17.00       11.37    
   18.00       10.48    
   19.00       9.555    
   20.00       8.631    
   21.00       7.728    
   22.00       6.872    
   23.00       6.082    
   24.00       5.373    
   25.00       4.752    
   26.00       4.225    
   27.00       3.788    
   28.00       3.436    
   29.00       3.160    
   30.00       2.947    
   31.00       2.784    
   32.00       2.658    
   33.00       2.556    
   34.00       2.466    
   35.00       2.379    
   36.00       2.288    
   37.00       2.187    
   38.00       2.074    
   39.00       1.950    
   40.00       1.814    
   41.00       1.671    
   42.00       1.523    
   43.00       1.376    
   44.00       1.233    
   45.00       1.098    
   46.00      0.9733    
   47.00      0.8622    
   48.00      0.7658    
   49.00      0.6844    
   50.00      0.6178    
   51.00      0.5647    
   52.00      0.5237    
   53.00      0.4926    
   54.00      0.4692    
   55.00      0.4513    
   56.00      0.4367    
   57.00      0.4236    
   58.00      0.4106    
   59.00      0.3963    
   60.00      0.3803    
   61.00      0.3620    
   62.00      0.3417    
   63.00      0.3195    
   64.00      0.2962    
   65.00      0.2724    
   66.00      0.2490    
   67.00      0.2266    
   68.00      0.2062    
   69.00      0.1883    
   70.00      0.1734    
   71.00      0.1617    
   72.00      0.1533    
   73.00      0.1482    
   74.00      0.1462    
   75.00      0.1468    
   76.00      0.1495    
   77.00      0.1538    
   78.00      0.1590    
   79.00      0.1647    
   80.00      0.1701    
 END
