#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 7623 keV Jpi=3+ l=2 n=3 j=3/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       40.22    
   1.000       40.30    
   2.000       40.53    
   3.000       40.90    
   4.000       41.39    
   5.000       41.97    
   6.000       42.57    
   7.000       43.15    
   8.000       43.65    
   9.000       43.98    
   10.00       44.08    
   11.00       43.89    
   12.00       43.34    
   13.00       42.40    
   14.00       41.05    
   15.00       39.27    
   16.00       37.11    
   17.00       34.61    
   18.00       31.86    
   19.00       28.93    
   20.00       25.94    
   21.00       22.99    
   22.00       20.18    
   23.00       17.60    
   24.00       15.31    
   25.00       13.33    
   26.00       11.70    
   27.00       10.39    
   28.00       9.385    
   29.00       8.638    
   30.00       8.103    
   31.00       7.727    
   32.00       7.457    
   33.00       7.245    
   34.00       7.046    
   35.00       6.825    
   36.00       6.558    
   37.00       6.231    
   38.00       5.840    
   39.00       5.392    
   40.00       4.898    
   41.00       4.378    
   42.00       3.852    
   43.00       3.341    
   44.00       2.861    
   45.00       2.430    
   46.00       2.056    
   47.00       1.747    
   48.00       1.506    
   49.00       1.329    
   50.00       1.214    
   51.00       1.151    
   52.00       1.132    
   53.00       1.146    
   54.00       1.182    
   55.00       1.228    
   56.00       1.274    
   57.00       1.313    
   58.00       1.338    
   59.00       1.345    
   60.00       1.332    
   61.00       1.300    
   62.00       1.249    
   63.00       1.183    
   64.00       1.104    
   65.00       1.016    
   66.00      0.9239    
   67.00      0.8302    
   68.00      0.7387    
   69.00      0.6524    
   70.00      0.5737    
   71.00      0.5043    
   72.00      0.4453    
   73.00      0.3968    
   74.00      0.3587    
   75.00      0.3301    
   76.00      0.3096    
   77.00      0.2958    
   78.00      0.2871    
   79.00      0.2818    
   80.00      0.2784    
 END
