#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8748 keV Jpi=2+ l=0 n=3 j=1/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       53.82    
   1.000       53.16    
   2.000       51.20    
   3.000       48.09    
   4.000       44.00    
   5.000       39.20    
   6.000       33.96    
   7.000       28.58    
   8.000       23.33    
   9.000       18.46    
   10.00       14.15    
   11.00       10.54    
   12.00       7.689    
   13.00       5.586    
   14.00       4.175    
   15.00       3.352    
   16.00       2.992    
   17.00       2.957    
   18.00       3.118    
   19.00       3.361    
   20.00       3.600    
   21.00       3.772    
   22.00       3.845    
   23.00       3.808    
   24.00       3.673    
   25.00       3.464    
   26.00       3.212    
   27.00       2.950    
   28.00       2.711    
   29.00       2.518    
   30.00       2.387    
   31.00       2.324    
   32.00       2.328    
   33.00       2.388    
   34.00       2.490    
   35.00       2.616    
   36.00       2.747    
   37.00       2.867    
   38.00       2.959    
   39.00       3.013    
   40.00       3.019    
   41.00       2.975    
   42.00       2.879    
   43.00       2.736    
   44.00       2.552    
   45.00       2.337    
   46.00       2.099    
   47.00       1.850    
   48.00       1.598    
   49.00       1.353    
   50.00       1.123    
   51.00      0.9141    
   52.00      0.7300    
   53.00      0.5740    
   54.00      0.4473    
   55.00      0.3497    
   56.00      0.2798    
   57.00      0.2353    
   58.00      0.2132    
   59.00      0.2100    
   60.00      0.2220    
   61.00      0.2455    
   62.00      0.2768    
   63.00      0.3128    
   64.00      0.3504    
   65.00      0.3871    
   66.00      0.4208    
   67.00      0.4497    
   68.00      0.4726    
   69.00      0.4888    
   70.00      0.4977    
   71.00      0.4994    
   72.00      0.4941    
   73.00      0.4822    
   74.00      0.4645    
   75.00      0.4417    
   76.00      0.4148    
   77.00      0.3847    
   78.00      0.3524    
   79.00      0.3187    
   80.00      0.2847    
 END
