#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8188 keV Jpi=3- l=3 n=1 j=5/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       4.400    
   1.000       4.412    
   2.000       4.448    
   3.000       4.505    
   4.000       4.583    
   5.000       4.678    
   6.000       4.787    
   7.000       4.906    
   8.000       5.032    
   9.000       5.158    
   10.00       5.282    
   11.00       5.395    
   12.00       5.494    
   13.00       5.572    
   14.00       5.622    
   15.00       5.639    
   16.00       5.618    
   17.00       5.555    
   18.00       5.447    
   19.00       5.293    
   20.00       5.095    
   21.00       4.856    
   22.00       4.580    
   23.00       4.275    
   24.00       3.948    
   25.00       3.607    
   26.00       3.261    
   27.00       2.919    
   28.00       2.587    
   29.00       2.274    
   30.00       1.986    
   31.00       1.728    
   32.00       1.502    
   33.00       1.311    
   34.00       1.155    
   35.00       1.032    
   36.00      0.9397    
   37.00      0.8732    
   38.00      0.8286    
   39.00      0.8010    
   40.00      0.7859    
   41.00      0.7787    
   42.00      0.7755    
   43.00      0.7726    
   44.00      0.7672    
   45.00      0.7571    
   46.00      0.7410    
   47.00      0.7181    
   48.00      0.6885    
   49.00      0.6527    
   50.00      0.6118    
   51.00      0.5672    
   52.00      0.5203    
   53.00      0.4726    
   54.00      0.4254    
   55.00      0.3799    
   56.00      0.3372    
   57.00      0.2980    
   58.00      0.2629    
   59.00      0.2320    
   60.00      0.2056    
   61.00      0.1835    
   62.00      0.1653    
   63.00      0.1507    
   64.00      0.1392    
   65.00      0.1302    
   66.00      0.1232    
   67.00      0.1178    
   68.00      0.1134    
   69.00      0.1097    
   70.00      0.1065    
   71.00      0.1035    
   72.00      0.1007    
   73.00      0.9779E-01
   74.00      0.9489E-01
   75.00      0.9197E-01
   76.00      0.8908E-01
   77.00      0.8626E-01
   78.00      0.8360E-01
   79.00      0.8114E-01
   80.00      0.7894E-01
 END
