#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9227.43 keV Jpi=1+ l=2 n=2 j=3/2"                
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       8.195    
   1.000       8.205    
   2.000       8.234    
   3.000       8.277    
   4.000       8.330    
   5.000       8.384    
   6.000       8.430    
   7.000       8.459    
   8.000       8.461    
   9.000       8.426    
   10.00       8.345    
   11.00       8.213    
   12.00       8.023    
   13.00       7.774    
   14.00       7.466    
   15.00       7.102    
   16.00       6.689    
   17.00       6.236    
   18.00       5.755    
   19.00       5.259    
   20.00       4.762    
   21.00       4.277    
   22.00       3.817    
   23.00       3.391    
   24.00       3.008    
   25.00       2.672    
   26.00       2.385    
   27.00       2.146    
   28.00       1.952    
   29.00       1.798    
   30.00       1.678    
   31.00       1.586    
   32.00       1.513    
   33.00       1.454    
   34.00       1.401    
   35.00       1.351    
   36.00       1.298    
   37.00       1.241    
   38.00       1.178    
   39.00       1.108    
   40.00       1.033    
   41.00      0.9532    
   42.00      0.8713    
   43.00      0.7892    
   44.00      0.7092    
   45.00      0.6332    
   46.00      0.5631    
   47.00      0.5000    
   48.00      0.4447    
   49.00      0.3976    
   50.00      0.3585    
   51.00      0.3270    
   52.00      0.3021    
   53.00      0.2830    
   54.00      0.2683    
   55.00      0.2570    
   56.00      0.2478    
   57.00      0.2398    
   58.00      0.2320    
   59.00      0.2239    
   60.00      0.2150    
   61.00      0.2050    
   62.00      0.1939    
   63.00      0.1820    
   64.00      0.1694    
   65.00      0.1565    
   66.00      0.1437    
   67.00      0.1316    
   68.00      0.1204    
   69.00      0.1104    
   70.00      0.1020    
   71.00      0.9536E-01
   72.00      0.9047E-01
   73.00      0.8734E-01
   74.00      0.8587E-01
   75.00      0.8586E-01
   76.00      0.8706E-01
   77.00      0.8918E-01
   78.00      0.9187E-01
   79.00      0.9483E-01
   80.00      0.9771E-01
 END
