#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9226.69 keV Jpi=3- l=3 n=1 j=7/2"                
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       4.517    
   1.000       4.521    
   2.000       4.532    
   3.000       4.551    
   4.000       4.577    
   5.000       4.608    
   6.000       4.643    
   7.000       4.679    
   8.000       4.714    
   9.000       4.745    
   10.00       4.769    
   11.00       4.782    
   12.00       4.782    
   13.00       4.766    
   14.00       4.730    
   15.00       4.674    
   16.00       4.595    
   17.00       4.493    
   18.00       4.365    
   19.00       4.214    
   20.00       4.039    
   21.00       3.842    
   22.00       3.626    
   23.00       3.395    
   24.00       3.154    
   25.00       2.906    
   26.00       2.656    
   27.00       2.410    
   28.00       2.172    
   29.00       1.946    
   30.00       1.737    
   31.00       1.546    
   32.00       1.376    
   33.00       1.228    
   34.00       1.102    
   35.00      0.9980    
   36.00      0.9137    
   37.00      0.8475    
   38.00      0.7967    
   39.00      0.7587    
   40.00      0.7307    
   41.00      0.7097    
   42.00      0.6932    
   43.00      0.6789    
   44.00      0.6647    
   45.00      0.6491    
   46.00      0.6310    
   47.00      0.6096    
   48.00      0.5847    
   49.00      0.5562    
   50.00      0.5246    
   51.00      0.4905    
   52.00      0.4548    
   53.00      0.4181    
   54.00      0.3815    
   55.00      0.3458    
   56.00      0.3116    
   57.00      0.2796    
   58.00      0.2501    
   59.00      0.2236    
   60.00      0.2001    
   61.00      0.1797    
   62.00      0.1622    
   63.00      0.1475    
   64.00      0.1353    
   65.00      0.1253    
   66.00      0.1171    
   67.00      0.1104    
   68.00      0.1048    
   69.00      0.9997E-01
   70.00      0.9574E-01
   71.00      0.9187E-01
   72.00      0.8821E-01
   73.00      0.8467E-01
   74.00      0.8120E-01
   75.00      0.7780E-01
   76.00      0.7448E-01
   77.00      0.7129E-01
   78.00      0.6828E-01
   79.00      0.6551E-01
   80.00      0.6303E-01
 END
