#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8748 keV Jpi=2+ l=2 n=3 j=5/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       25.61    
   1.000       25.66    
   2.000       25.79    
   3.000       26.01    
   4.000       26.27    
   5.000       26.57    
   6.000       26.87    
   7.000       27.14    
   8.000       27.33    
   9.000       27.42    
   10.00       27.36    
   11.00       27.12    
   12.00       26.68    
   13.00       26.03    
   14.00       25.16    
   15.00       24.07    
   16.00       22.78    
   17.00       21.33    
   18.00       19.75    
   19.00       18.10    
   20.00       16.41    
   21.00       14.74    
   22.00       13.14    
   23.00       11.64    
   24.00       10.28    
   25.00       9.063    
   26.00       8.011    
   27.00       7.123    
   28.00       6.391    
   29.00       5.801    
   30.00       5.335    
   31.00       4.968    
   32.00       4.679    
   33.00       4.443    
   34.00       4.241    
   35.00       4.053    
   36.00       3.867    
   37.00       3.673    
   38.00       3.465    
   39.00       3.243    
   40.00       3.007    
   41.00       2.762    
   42.00       2.514    
   43.00       2.270    
   44.00       2.035    
   45.00       1.816    
   46.00       1.618    
   47.00       1.445    
   48.00       1.298    
   49.00       1.179    
   50.00       1.086    
   51.00       1.018    
   52.00      0.9708    
   53.00      0.9409    
   54.00      0.9239    
   55.00      0.9154    
   56.00      0.9113    
   57.00      0.9080    
   58.00      0.9023    
   59.00      0.8918    
   60.00      0.8750    
   61.00      0.8508    
   62.00      0.8191    
   63.00      0.7804    
   64.00      0.7355    
   65.00      0.6858    
   66.00      0.6328    
   67.00      0.5783    
   68.00      0.5238    
   69.00      0.4711    
   70.00      0.4213    
   71.00      0.3756    
   72.00      0.3347    
   73.00      0.2993    
   74.00      0.2694    
   75.00      0.2450    
   76.00      0.2258    
   77.00      0.2114    
   78.00      0.2011    
   79.00      0.1942    
   80.00      0.1900    
 END
