#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9419 keV Jpi=3- l=5 n=1 j=9/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000      0.5141    
   1.000      0.5131    
   2.000      0.5101    
   3.000      0.5053    
   4.000      0.4989    
   5.000      0.4913    
   6.000      0.4828    
   7.000      0.4738    
   8.000      0.4648    
   9.000      0.4560    
   10.00      0.4480    
   11.00      0.4412    
   12.00      0.4357    
   13.00      0.4320    
   14.00      0.4303    
   15.00      0.4307    
   16.00      0.4335    
   17.00      0.4385    
   18.00      0.4457    
   19.00      0.4549    
   20.00      0.4657    
   21.00      0.4779    
   22.00      0.4908    
   23.00      0.5040    
   24.00      0.5170    
   25.00      0.5293    
   26.00      0.5402    
   27.00      0.5495    
   28.00      0.5565    
   29.00      0.5611    
   30.00      0.5627    
   31.00      0.5612    
   32.00      0.5564    
   33.00      0.5481    
   34.00      0.5365    
   35.00      0.5215    
   36.00      0.5034    
   37.00      0.4824    
   38.00      0.4591    
   39.00      0.4337    
   40.00      0.4070    
   41.00      0.3793    
   42.00      0.3512    
   43.00      0.3233    
   44.00      0.2961    
   45.00      0.2699    
   46.00      0.2451    
   47.00      0.2221    
   48.00      0.2010    
   49.00      0.1820    
   50.00      0.1653    
   51.00      0.1508    
   52.00      0.1384    
   53.00      0.1282    
   54.00      0.1198    
   55.00      0.1132    
   56.00      0.1082    
   57.00      0.1044    
   58.00      0.1016    
   59.00      0.9968E-01
   60.00      0.9829E-01
   61.00      0.9724E-01
   62.00      0.9635E-01
   63.00      0.9544E-01
   64.00      0.9439E-01
   65.00      0.9309E-01
   66.00      0.9147E-01
   67.00      0.8949E-01
   68.00      0.8715E-01
   69.00      0.8446E-01
   70.00      0.8145E-01
   71.00      0.7817E-01
   72.00      0.7468E-01
   73.00      0.7104E-01
   74.00      0.6734E-01
   75.00      0.6362E-01
   76.00      0.5997E-01
   77.00      0.5642E-01
   78.00      0.5303E-01
   79.00      0.4983E-01
   80.00      0.4685E-01
 END
