#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8935 keV Jpi=2+ l=2 n=2 j=5/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       14.38    
   1.000       14.41    
   2.000       14.49    
   3.000       14.62    
   4.000       14.79    
   5.000       14.97    
   6.000       15.15    
   7.000       15.31    
   8.000       15.43    
   9.000       15.48    
   10.00       15.44    
   11.00       15.29    
   12.00       15.02    
   13.00       14.62    
   14.00       14.09    
   15.00       13.43    
   16.00       12.66    
   17.00       11.80    
   18.00       10.87    
   19.00       9.903    
   20.00       8.923    
   21.00       7.962    
   22.00       7.043    
   23.00       6.189    
   24.00       5.417    
   25.00       4.739    
   26.00       4.159    
   27.00       3.678    
   28.00       3.292    
   29.00       2.991    
   30.00       2.764    
   31.00       2.597    
   32.00       2.476    
   33.00       2.386    
   34.00       2.315    
   35.00       2.251    
   36.00       2.187    
   37.00       2.114    
   38.00       2.031    
   39.00       1.934    
   40.00       1.825    
   41.00       1.706    
   42.00       1.579    
   43.00       1.448    
   44.00       1.317    
   45.00       1.190    
   46.00       1.070    
   47.00      0.9596    
   48.00      0.8612    
   49.00      0.7756    
   50.00      0.7030    
   51.00      0.6430    
   52.00      0.5946    
   53.00      0.5561    
   54.00      0.5258    
   55.00      0.5018    
   56.00      0.4822    
   57.00      0.4653    
   58.00      0.4495    
   59.00      0.4336    
   60.00      0.4169    
   61.00      0.3987    
   62.00      0.3789    
   63.00      0.3577    
   64.00      0.3354    
   65.00      0.3124    
   66.00      0.2895    
   67.00      0.2674    
   68.00      0.2466    
   69.00      0.2278    
   70.00      0.2114    
   71.00      0.1978    
   72.00      0.1872    
   73.00      0.1796    
   74.00      0.1749    
   75.00      0.1728    
   76.00      0.1730    
   77.00      0.1751    
   78.00      0.1785    
   79.00      0.1827    
   80.00      0.1872    
 END
