#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8935 keV Jpi=1- l=1 n=3 j=3/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       20.31    
   1.000       20.27    
   2.000       20.15    
   3.000       19.94    
   4.000       19.61    
   5.000       19.15    
   6.000       18.56    
   7.000       17.80    
   8.000       16.90    
   9.000       15.85    
   10.00       14.67    
   11.00       13.41    
   12.00       12.09    
   13.00       10.75    
   14.00       9.450    
   15.00       8.224    
   16.00       7.111    
   17.00       6.141    
   18.00       5.332    
   19.00       4.692    
   20.00       4.215    
   21.00       3.886    
   22.00       3.680    
   23.00       3.568    
   24.00       3.519    
   25.00       3.502    
   26.00       3.491    
   27.00       3.464    
   28.00       3.405    
   29.00       3.305    
   30.00       3.162    
   31.00       2.977    
   32.00       2.758    
   33.00       2.513    
   34.00       2.254    
   35.00       1.992    
   36.00       1.738    
   37.00       1.503    
   38.00       1.293    
   39.00       1.116    
   40.00      0.9725    
   41.00      0.8640    
   42.00      0.7885    
   43.00      0.7424    
   44.00      0.7210    
   45.00      0.7188    
   46.00      0.7301    
   47.00      0.7496    
   48.00      0.7721    
   49.00      0.7935    
   50.00      0.8103    
   51.00      0.8198    
   52.00      0.8204    
   53.00      0.8113    
   54.00      0.7925    
   55.00      0.7646    
   56.00      0.7287    
   57.00      0.6863    
   58.00      0.6393    
   59.00      0.5893    
   60.00      0.5380    
   61.00      0.4869    
   62.00      0.4374    
   63.00      0.3905    
   64.00      0.3470    
   65.00      0.3074    
   66.00      0.2722    
   67.00      0.2413    
   68.00      0.2149    
   69.00      0.1928    
   70.00      0.1746    
   71.00      0.1599    
   72.00      0.1485    
   73.00      0.1397    
   74.00      0.1331    
   75.00      0.1283    
   76.00      0.1249    
   77.00      0.1227    
   78.00      0.1212    
   79.00      0.1202    
   80.00      0.1196    
 END
