#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9227.43 keV Jpi=2+ l=2 n=2 j=3/2"                
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       13.68    
   1.000       13.70    
   2.000       13.74    
   3.000       13.81    
   4.000       13.89    
   5.000       13.97    
   6.000       14.04    
   7.000       14.09    
   8.000       14.10    
   9.000       14.04    
   10.00       13.92    
   11.00       13.70    
   12.00       13.39    
   13.00       12.97    
   14.00       12.45    
   15.00       11.84    
   16.00       11.15    
   17.00       10.39    
   18.00       9.590    
   19.00       8.763    
   20.00       7.935    
   21.00       7.128    
   22.00       6.361    
   23.00       5.653    
   24.00       5.014    
   25.00       4.453    
   26.00       3.974    
   27.00       3.575    
   28.00       3.252    
   29.00       2.996    
   30.00       2.797    
   31.00       2.643    
   32.00       2.522    
   33.00       2.424    
   34.00       2.336    
   35.00       2.252    
   36.00       2.164    
   37.00       2.068    
   38.00       1.963    
   39.00       1.846    
   40.00       1.721    
   41.00       1.588    
   42.00       1.452    
   43.00       1.315    
   44.00       1.182    
   45.00       1.055    
   46.00      0.9385    
   47.00      0.8333    
   48.00      0.7411    
   49.00      0.6626    
   50.00      0.5976    
   51.00      0.5450    
   52.00      0.5037    
   53.00      0.4717    
   54.00      0.4473    
   55.00      0.4283    
   56.00      0.4130    
   57.00      0.3996    
   58.00      0.3866    
   59.00      0.3731    
   60.00      0.3582    
   61.00      0.3416    
   62.00      0.3232    
   63.00      0.3033    
   64.00      0.2823    
   65.00      0.2608    
   66.00      0.2396    
   67.00      0.2193    
   68.00      0.2006    
   69.00      0.1841    
   70.00      0.1701    
   71.00      0.1589    
   72.00      0.1508    
   73.00      0.1456    
   74.00      0.1431    
   75.00      0.1431    
   76.00      0.1451    
   77.00      0.1486    
   78.00      0.1531    
   79.00      0.1580    
   80.00      0.1628    
 END
