#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8764 keV Jpi=3- l=3 n=2 j=5/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       11.30    
   1.000       11.32    
   2.000       11.41    
   3.000       11.55    
   4.000       11.74    
   5.000       11.97    
   6.000       12.23    
   7.000       12.52    
   8.000       12.80    
   9.000       13.08    
   10.00       13.33    
   11.00       13.54    
   12.00       13.70    
   13.00       13.79    
   14.00       13.79    
   15.00       13.71    
   16.00       13.53    
   17.00       13.26    
   18.00       12.88    
   19.00       12.40    
   20.00       11.83    
   21.00       11.19    
   22.00       10.47    
   23.00       9.698    
   24.00       8.892    
   25.00       8.071    
   26.00       7.253    
   27.00       6.455    
   28.00       5.695    
   29.00       4.986    
   30.00       4.341    
   31.00       3.768    
   32.00       3.272    
   33.00       2.855    
   34.00       2.516    
   35.00       2.251    
   36.00       2.052    
   37.00       1.911    
   38.00       1.819    
   39.00       1.764    
   40.00       1.735    
   41.00       1.724    
   42.00       1.720    
   43.00       1.717    
   44.00       1.707    
   45.00       1.688    
   46.00       1.655    
   47.00       1.607    
   48.00       1.544    
   49.00       1.467    
   50.00       1.378    
   51.00       1.280    
   52.00       1.176    
   53.00       1.070    
   54.00      0.9640    
   55.00      0.8616    
   56.00      0.7651    
   57.00      0.6764    
   58.00      0.5967    
   59.00      0.5266    
   60.00      0.4665    
   61.00      0.4160    
   62.00      0.3745    
   63.00      0.3410    
   64.00      0.3146    
   65.00      0.2939    
   66.00      0.2778    
   67.00      0.2649    
   68.00      0.2543    
   69.00      0.2451    
   70.00      0.2364    
   71.00      0.2277    
   72.00      0.2189    
   73.00      0.2096    
   74.00      0.2000    
   75.00      0.1901    
   76.00      0.1802    
   77.00      0.1706    
   78.00      0.1613    
   79.00      0.1528    
   80.00      0.1452    
 END
