#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8188 keV Jpi=4+ l=2 n=3 j=5/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       52.34    
   1.000       52.46    
   2.000       52.79    
   3.000       53.32    
   4.000       54.02    
   5.000       54.82    
   6.000       55.67    
   7.000       56.47    
   8.000       57.15    
   9.000       57.59    
   10.00       57.70    
   11.00       57.41    
   12.00       56.65    
   13.00       55.37    
   14.00       53.58    
   15.00       51.28    
   16.00       48.52    
   17.00       45.37    
   18.00       41.92    
   19.00       38.27    
   20.00       34.54    
   21.00       30.84    
   22.00       27.28    
   23.00       23.96    
   24.00       20.95    
   25.00       18.31    
   26.00       16.04    
   27.00       14.16    
   28.00       12.63    
   29.00       11.44    
   30.00       10.52    
   31.00       9.820    
   32.00       9.292    
   33.00       8.878    
   34.00       8.529    
   35.00       8.201    
   36.00       7.864    
   37.00       7.496    
   38.00       7.085    
   39.00       6.631    
   40.00       6.140    
   41.00       5.623    
   42.00       5.095    
   43.00       4.571    
   44.00       4.069    
   45.00       3.601    
   46.00       3.181    
   47.00       2.815    
   48.00       2.510    
   49.00       2.266    
   50.00       2.081    
   51.00       1.948    
   52.00       1.860    
   53.00       1.807    
   54.00       1.781    
   55.00       1.770    
   56.00       1.767    
   57.00       1.763    
   58.00       1.753    
   59.00       1.730    
   60.00       1.693    
   61.00       1.640    
   62.00       1.570    
   63.00       1.487    
   64.00       1.391    
   65.00       1.286    
   66.00       1.177    
   67.00       1.067    
   68.00      0.9587    
   69.00      0.8558    
   70.00      0.7607    
   71.00      0.6752    
   72.00      0.6007    
   73.00      0.5379    
   74.00      0.4870    
   75.00      0.4473    
   76.00      0.4179    
   77.00      0.3974    
   78.00      0.3842    
   79.00      0.3765    
   80.00      0.3726    
 END
