#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9432 keV Jpi=4- l=3 n=2 j=5/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       13.65    
   1.000       13.68    
   2.000       13.76    
   3.000       13.90    
   4.000       14.08    
   5.000       14.29    
   6.000       14.53    
   7.000       14.78    
   8.000       15.02    
   9.000       15.25    
   10.00       15.44    
   11.00       15.59    
   12.00       15.67    
   13.00       15.68    
   14.00       15.60    
   15.00       15.42    
   16.00       15.14    
   17.00       14.76    
   18.00       14.29    
   19.00       13.72    
   20.00       13.06    
   21.00       12.33    
   22.00       11.53    
   23.00       10.68    
   24.00       9.803    
   25.00       8.915    
   26.00       8.036    
   27.00       7.185    
   28.00       6.378    
   29.00       5.628    
   30.00       4.944    
   31.00       4.335    
   32.00       3.804    
   33.00       3.354    
   34.00       2.983    
   35.00       2.689    
   36.00       2.465    
   37.00       2.302    
   38.00       2.190    
   39.00       2.119    
   40.00       2.076    
   41.00       2.053    
   42.00       2.039    
   43.00       2.027    
   44.00       2.011    
   45.00       1.986    
   46.00       1.949    
   47.00       1.897    
   48.00       1.830    
   49.00       1.748    
   50.00       1.652    
   51.00       1.545    
   52.00       1.431    
   53.00       1.312    
   54.00       1.192    
   55.00       1.075    
   56.00      0.9626    
   57.00      0.8574    
   58.00      0.7607    
   59.00      0.6736    
   60.00      0.5966    
   61.00      0.5299    
   62.00      0.4733    
   63.00      0.4263    
   64.00      0.3881    
   65.00      0.3573    
   66.00      0.3327    
   67.00      0.3130    
   68.00      0.2967    
   69.00      0.2829    
   70.00      0.2705    
   71.00      0.2592    
   72.00      0.2484    
   73.00      0.2379    
   74.00      0.2276    
   75.00      0.2173    
   76.00      0.2071    
   77.00      0.1971    
   78.00      0.1873    
   79.00      0.1780    
   80.00      0.1696    
 END
