#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8748 keV Jpi=2+ l=0 n=4 j=1/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       66.04    
   1.000       65.14    
   2.000       62.52    
   3.000       58.35    
   4.000       52.90    
   5.000       46.55    
   6.000       39.68    
   7.000       32.72    
   8.000       26.05    
   9.000       20.01    
   10.00       14.86    
   11.00       10.74    
   12.00       7.715    
   13.00       5.757    
   14.00       4.747    
   15.00       4.515    
   16.00       4.855    
   17.00       5.554    
   18.00       6.411    
   19.00       7.253    
   20.00       7.949    
   21.00       8.411    
   22.00       8.597    
   23.00       8.504    
   24.00       8.161    
   25.00       7.619    
   26.00       6.942    
   27.00       6.198    
   28.00       5.451    
   29.00       4.755    
   30.00       4.149    
   31.00       3.659    
   32.00       3.292    
   33.00       3.047    
   34.00       2.909    
   35.00       2.857    
   36.00       2.866    
   37.00       2.910    
   38.00       2.966    
   39.00       3.011    
   40.00       3.031    
   41.00       3.013    
   42.00       2.951    
   43.00       2.844    
   44.00       2.696    
   45.00       2.511    
   46.00       2.299    
   47.00       2.069    
   48.00       1.832    
   49.00       1.597    
   50.00       1.373    
   51.00       1.167    
   52.00      0.9834    
   53.00      0.8273    
   54.00      0.7003    
   55.00      0.6027    
   56.00      0.5336    
   57.00      0.4910    
   58.00      0.4718    
   59.00      0.4725    
   60.00      0.4892    
   61.00      0.5177    
   62.00      0.5541    
   63.00      0.5946    
   64.00      0.6358    
   65.00      0.6748    
   66.00      0.7090    
   67.00      0.7365    
   68.00      0.7559    
   69.00      0.7661    
   70.00      0.7668    
   71.00      0.7578    
   72.00      0.7394    
   73.00      0.7124    
   74.00      0.6776    
   75.00      0.6363    
   76.00      0.5896    
   77.00      0.5392    
   78.00      0.4863    
   79.00      0.4323    
   80.00      0.3788    
 END
