#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9226.69 keV Jpi=2+ l=4 n=2 j=7/2"                
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       2.998    
   1.000       2.998    
   2.000       3.000    
   3.000       3.006    
   4.000       3.019    
   5.000       3.044    
   6.000       3.080    
   7.000       3.127    
   8.000       3.180    
   9.000       3.234    
   10.00       3.284    
   11.00       3.329    
   12.00       3.366    
   13.00       3.397    
   14.00       3.423    
   15.00       3.446    
   16.00       3.464    
   17.00       3.478    
   18.00       3.483    
   19.00       3.477    
   20.00       3.456    
   21.00       3.420    
   22.00       3.368    
   23.00       3.302    
   24.00       3.222    
   25.00       3.129    
   26.00       3.024    
   27.00       2.906    
   28.00       2.775    
   29.00       2.631    
   30.00       2.476    
   31.00       2.311    
   32.00       2.141    
   33.00       1.968    
   34.00       1.796    
   35.00       1.629    
   36.00       1.469    
   37.00       1.318    
   38.00       1.177    
   39.00       1.048    
   40.00      0.9315    
   41.00      0.8278    
   42.00      0.7377    
   43.00      0.6614    
   44.00      0.5983    
   45.00      0.5478    
   46.00      0.5083    
   47.00      0.4782    
   48.00      0.4555    
   49.00      0.4386    
   50.00      0.4258    
   51.00      0.4157    
   52.00      0.4071    
   53.00      0.3989    
   54.00      0.3904    
   55.00      0.3808    
   56.00      0.3696    
   57.00      0.3566    
   58.00      0.3415    
   59.00      0.3246    
   60.00      0.3063    
   61.00      0.2869    
   62.00      0.2669    
   63.00      0.2470    
   64.00      0.2274    
   65.00      0.2086    
   66.00      0.1909    
   67.00      0.1744    
   68.00      0.1595    
   69.00      0.1462    
   70.00      0.1346    
   71.00      0.1247    
   72.00      0.1164    
   73.00      0.1095    
   74.00      0.1039    
   75.00      0.9931E-01
   76.00      0.9545E-01
   77.00      0.9212E-01
   78.00      0.8917E-01
   79.00      0.8645E-01
   80.00      0.8388E-01
 END
