#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8851 keV Jpi=6- l=7 n=1 j=15/2"                  
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000      0.1096    
   1.000      0.1102    
   2.000      0.1120    
   3.000      0.1150    
   4.000      0.1194    
   5.000      0.1247    
   6.000      0.1302    
   7.000      0.1352    
   8.000      0.1386    
   9.000      0.1401    
   10.00      0.1393    
   11.00      0.1368    
   12.00      0.1330    
   13.00      0.1285    
   14.00      0.1239    
   15.00      0.1193    
   16.00      0.1147    
   17.00      0.1101    
   18.00      0.1054    
   19.00      0.1010    
   20.00      0.9724E-01
   21.00      0.9455E-01
   22.00      0.9332E-01
   23.00      0.9381E-01
   24.00      0.9608E-01
   25.00      0.1000    
   26.00      0.1053    
   27.00      0.1115    
   28.00      0.1181    
   29.00      0.1243    
   30.00      0.1294    
   31.00      0.1327    
   32.00      0.1340    
   33.00      0.1331    
   34.00      0.1306    
   35.00      0.1274    
   36.00      0.1249    
   37.00      0.1244    
   38.00      0.1268    
   39.00      0.1329    
   40.00      0.1423    
   41.00      0.1541    
   42.00      0.1668    
   43.00      0.1784    
   44.00      0.1872    
   45.00      0.1917    
   46.00      0.1911    
   47.00      0.1857    
   48.00      0.1763    
   49.00      0.1647    
   50.00      0.1531    
   51.00      0.1436    
   52.00      0.1380    
   53.00      0.1373    
   54.00      0.1414    
   55.00      0.1491    
   56.00      0.1584    
   57.00      0.1665    
   58.00      0.1708    
   59.00      0.1692    
   60.00      0.1609    
   61.00      0.1464    
   62.00      0.1276    
   63.00      0.1074    
   64.00      0.8926E-01
   65.00      0.7619E-01
   66.00      0.7015E-01
   67.00      0.7161E-01
   68.00      0.7933E-01
   69.00      0.9071E-01
   70.00      0.1024    
   71.00      0.1109    
   72.00      0.1138    
   73.00      0.1100    
   74.00      0.9987E-01
   75.00      0.8559E-01
   76.00      0.7011E-01
   77.00      0.5663E-01
   78.00      0.4778E-01
   79.00      0.4502E-01
   80.00      0.4832E-01
 END
