#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8551 keV Jpi=5- l=7 n=1 j=13/2"                  
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000      0.1177    
   1.000      0.1167    
   2.000      0.1136    
   3.000      0.1086    
   4.000      0.1021    
   5.000      0.9449E-01
   6.000      0.8635E-01
   7.000      0.7838E-01
   8.000      0.7132E-01
   9.000      0.6591E-01
   10.00      0.6276E-01
   11.00      0.6224E-01
   12.00      0.6438E-01
   13.00      0.6889E-01
   14.00      0.7510E-01
   15.00      0.8212E-01
   16.00      0.8899E-01
   17.00      0.9480E-01
   18.00      0.9890E-01
   19.00      0.1010    
   20.00      0.1011    
   21.00      0.9963E-01
   22.00      0.9715E-01
   23.00      0.9433E-01
   24.00      0.9176E-01
   25.00      0.8987E-01
   26.00      0.8889E-01
   27.00      0.8882E-01
   28.00      0.8951E-01
   29.00      0.9074E-01
   30.00      0.9228E-01
   31.00      0.9399E-01
   32.00      0.9580E-01
   33.00      0.9779E-01
   34.00      0.1001    
   35.00      0.1028    
   36.00      0.1061    
   37.00      0.1100    
   38.00      0.1143    
   39.00      0.1189    
   40.00      0.1233    
   41.00      0.1272    
   42.00      0.1303    
   43.00      0.1323    
   44.00      0.1331    
   45.00      0.1328    
   46.00      0.1317    
   47.00      0.1299    
   48.00      0.1280    
   49.00      0.1262    
   50.00      0.1248    
   51.00      0.1238    
   52.00      0.1231    
   53.00      0.1223    
   54.00      0.1212    
   55.00      0.1192    
   56.00      0.1162    
   57.00      0.1119    
   58.00      0.1065    
   59.00      0.1000    
   60.00      0.9299E-01
   61.00      0.8586E-01
   62.00      0.7910E-01
   63.00      0.7314E-01
   64.00      0.6823E-01
   65.00      0.6444E-01
   66.00      0.6167E-01
   67.00      0.5966E-01
   68.00      0.5807E-01
   69.00      0.5654E-01
   70.00      0.5479E-01
   71.00      0.5265E-01
   72.00      0.5010E-01
   73.00      0.4724E-01
   74.00      0.4429E-01
   75.00      0.4153E-01
   76.00      0.3921E-01
   77.00      0.3753E-01
   78.00      0.3657E-01
   79.00      0.3630E-01
   80.00      0.3658E-01
 END
