#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9405 keV Jpi=2- l=1 n=2 j=1/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       16.66    
   1.000       16.60    
   2.000       16.43    
   3.000       16.14    
   4.000       15.73    
   5.000       15.20    
   6.000       14.55    
   7.000       13.79    
   8.000       12.91    
   9.000       11.95    
   10.00       10.93    
   11.00       9.861    
   12.00       8.791    
   13.00       7.752    
   14.00       6.778    
   15.00       5.900    
   16.00       5.141    
   17.00       4.517    
   18.00       4.035    
   19.00       3.691    
   20.00       3.475    
   21.00       3.369    
   22.00       3.351    
   23.00       3.395    
   24.00       3.477    
   25.00       3.570    
   26.00       3.654    
   27.00       3.709    
   28.00       3.723    
   29.00       3.688    
   30.00       3.600    
   31.00       3.463    
   32.00       3.280    
   33.00       3.061    
   34.00       2.814    
   35.00       2.552    
   36.00       2.282    
   37.00       2.016    
   38.00       1.761    
   39.00       1.523    
   40.00       1.307    
   41.00       1.116    
   42.00      0.9496    
   43.00      0.8087    
   44.00      0.6917    
   45.00      0.5965    
   46.00      0.5203    
   47.00      0.4606    
   48.00      0.4146    
   49.00      0.3799    
   50.00      0.3542    
   51.00      0.3359    
   52.00      0.3235    
   53.00      0.3159    
   54.00      0.3124    
   55.00      0.3123    
   56.00      0.3154    
   57.00      0.3211    
   58.00      0.3293    
   59.00      0.3395    
   60.00      0.3512    
   61.00      0.3641    
   62.00      0.3774    
   63.00      0.3905    
   64.00      0.4027    
   65.00      0.4131    
   66.00      0.4213    
   67.00      0.4265    
   68.00      0.4283    
   69.00      0.4263    
   70.00      0.4203    
   71.00      0.4102    
   72.00      0.3962    
   73.00      0.3785    
   74.00      0.3575    
   75.00      0.3336    
   76.00      0.3076    
   77.00      0.2800    
   78.00      0.2516    
   79.00      0.2231    
   80.00      0.1951    
 END
