#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9226.69 keV Jpi=2+ l=0 n=4 j=1/2"                
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       46.77    
   1.000       46.16    
   2.000       44.39    
   3.000       41.57    
   4.000       37.87    
   5.000       33.54    
   6.000       28.83    
   7.000       24.03    
   8.000       19.40    
   9.000       15.15    
   10.00       11.49    
   11.00       8.507    
   12.00       6.267    
   13.00       4.752    
   14.00       3.896    
   15.00       3.590    
   16.00       3.703    
   17.00       4.092    
   18.00       4.623    
   19.00       5.177    
   20.00       5.660    
   21.00       6.007    
   22.00       6.181    
   23.00       6.174    
   24.00       5.997    
   25.00       5.680    
   26.00       5.261    
   27.00       4.785    
   28.00       4.293    
   29.00       3.822    
   30.00       3.403    
   31.00       3.052    
   32.00       2.781    
   33.00       2.590    
   34.00       2.471    
   35.00       2.412    
   36.00       2.397    
   37.00       2.410    
   38.00       2.435    
   39.00       2.456    
   40.00       2.462    
   41.00       2.444    
   42.00       2.398    
   43.00       2.319    
   44.00       2.211    
   45.00       2.076    
   46.00       1.919    
   47.00       1.747    
   48.00       1.566    
   49.00       1.385    
   50.00       1.208    
   51.00       1.042    
   52.00      0.8915    
   53.00      0.7595    
   54.00      0.6483    
   55.00      0.5592    
   56.00      0.4920    
   57.00      0.4460    
   58.00      0.4195    
   59.00      0.4103    
   60.00      0.4157    
   61.00      0.4328    
   62.00      0.4587    
   63.00      0.4903    
   64.00      0.5248    
   65.00      0.5596    
   66.00      0.5923    
   67.00      0.6210    
   68.00      0.6441    
   69.00      0.6603    
   70.00      0.6688    
   71.00      0.6691    
   72.00      0.6611    
   73.00      0.6452    
   74.00      0.6217    
   75.00      0.5915    
   76.00      0.5556    
   77.00      0.5149    
   78.00      0.4707    
   79.00      0.4243    
   80.00      0.3769    
 END
