#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8748 keV Jpi=2+ l=2 n=1 j=3/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       6.659    
   1.000       6.673    
   2.000       6.714    
   3.000       6.778    
   4.000       6.857    
   5.000       6.944    
   6.000       7.029    
   7.000       7.100    
   8.000       7.148    
   9.000       7.162    
   10.00       7.132    
   11.00       7.050    
   12.00       6.909    
   13.00       6.707    
   14.00       6.442    
   15.00       6.119    
   16.00       5.745    
   17.00       5.329    
   18.00       4.885    
   19.00       4.425    
   20.00       3.964    
   21.00       3.516    
   22.00       3.093    
   23.00       2.705    
   24.00       2.360    
   25.00       2.063    
   26.00       1.814    
   27.00       1.614    
   28.00       1.458    
   29.00       1.342    
   30.00       1.258    
   31.00       1.200    
   32.00       1.161    
   33.00       1.133    
   34.00       1.109    
   35.00       1.086    
   36.00       1.058    
   37.00       1.024    
   38.00      0.9813    
   39.00      0.9307    
   40.00      0.8728    
   41.00      0.8093    
   42.00      0.7421    
   43.00      0.6734    
   44.00      0.6056    
   45.00      0.5405    
   46.00      0.4801    
   47.00      0.4256    
   48.00      0.3780    
   49.00      0.3377    
   50.00      0.3047    
   51.00      0.2785    
   52.00      0.2584    
   53.00      0.2434    
   54.00      0.2324    
   55.00      0.2243    
   56.00      0.2180    
   57.00      0.2127    
   58.00      0.2075    
   59.00      0.2017    
   60.00      0.1949    
   61.00      0.1869    
   62.00      0.1775    
   63.00      0.1669    
   64.00      0.1552    
   65.00      0.1428    
   66.00      0.1301    
   67.00      0.1173    
   68.00      0.1049    
   69.00      0.9319E-01
   70.00      0.8242E-01
   71.00      0.7280E-01
   72.00      0.6444E-01
   73.00      0.5741E-01
   74.00      0.5171E-01
   75.00      0.4725E-01
   76.00      0.4392E-01
   77.00      0.4155E-01
   78.00      0.3996E-01
   79.00      0.3896E-01
   80.00      0.3836E-01
 END
