#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8851 keV Jpi=6- l=7 n=1 j=13/2"                  
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000      0.1126    
   1.000      0.1119    
   2.000      0.1100    
   3.000      0.1067    
   4.000      0.1024    
   5.000      0.9733E-01
   6.000      0.9186E-01
   7.000      0.8658E-01
   8.000      0.8212E-01
   9.000      0.7909E-01
   10.00      0.7797E-01
   11.00      0.7899E-01
   12.00      0.8209E-01
   13.00      0.8689E-01
   14.00      0.9276E-01
   15.00      0.9894E-01
   16.00      0.1047    
   17.00      0.1093    
   18.00      0.1126    
   19.00      0.1142    
   20.00      0.1145    
   21.00      0.1136    
   22.00      0.1121    
   23.00      0.1102    
   24.00      0.1083    
   25.00      0.1067    
   26.00      0.1055    
   27.00      0.1048    
   28.00      0.1048    
   29.00      0.1055    
   30.00      0.1070    
   31.00      0.1093    
   32.00      0.1125    
   33.00      0.1163    
   34.00      0.1205    
   35.00      0.1249    
   36.00      0.1291    
   37.00      0.1328    
   38.00      0.1359    
   39.00      0.1382    
   40.00      0.1398    
   41.00      0.1409    
   42.00      0.1416    
   43.00      0.1423    
   44.00      0.1430    
   45.00      0.1440    
   46.00      0.1452    
   47.00      0.1466    
   48.00      0.1478    
   49.00      0.1488    
   50.00      0.1491    
   51.00      0.1485    
   52.00      0.1468    
   53.00      0.1440    
   54.00      0.1400    
   55.00      0.1349    
   56.00      0.1290    
   57.00      0.1226    
   58.00      0.1158    
   59.00      0.1091    
   60.00      0.1027    
   61.00      0.9670E-01
   62.00      0.9130E-01
   63.00      0.8649E-01
   64.00      0.8221E-01
   65.00      0.7834E-01
   66.00      0.7472E-01
   67.00      0.7121E-01
   68.00      0.6770E-01
   69.00      0.6416E-01
   70.00      0.6061E-01
   71.00      0.5714E-01
   72.00      0.5392E-01
   73.00      0.5111E-01
   74.00      0.4884E-01
   75.00      0.4720E-01
   76.00      0.4621E-01
   77.00      0.4575E-01
   78.00      0.4569E-01
   79.00      0.4579E-01
   80.00      0.4583E-01
 END
