#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 8188 keV Jpi=3+ l=2 n=3 j=5/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       40.70    
   1.000       40.79    
   2.000       41.05    
   3.000       41.47    
   4.000       42.01    
   5.000       42.64    
   6.000       43.30    
   7.000       43.93    
   8.000       44.45    
   9.000       44.79    
   10.00       44.88    
   11.00       44.65    
   12.00       44.06    
   13.00       43.07    
   14.00       41.67    
   15.00       39.88    
   16.00       37.74    
   17.00       35.29    
   18.00       32.61    
   19.00       29.77    
   20.00       26.86    
   21.00       23.99    
   22.00       21.22    
   23.00       18.64    
   24.00       16.30    
   25.00       14.24    
   26.00       12.47    
   27.00       11.01    
   28.00       9.825    
   29.00       8.893    
   30.00       8.178    
   31.00       7.637    
   32.00       7.227    
   33.00       6.905    
   34.00       6.633    
   35.00       6.379    
   36.00       6.117    
   37.00       5.830    
   38.00       5.511    
   39.00       5.158    
   40.00       4.776    
   41.00       4.373    
   42.00       3.962    
   43.00       3.555    
   44.00       3.164    
   45.00       2.801    
   46.00       2.474    
   47.00       2.190    
   48.00       1.952    
   49.00       1.763    
   50.00       1.618    
   51.00       1.515    
   52.00       1.447    
   53.00       1.406    
   54.00       1.385    
   55.00       1.377    
   56.00       1.374    
   57.00       1.371    
   58.00       1.363    
   59.00       1.346    
   60.00       1.317    
   61.00       1.275    
   62.00       1.222    
   63.00       1.156    
   64.00       1.082    
   65.00       1.001    
   66.00      0.9156    
   67.00      0.8297    
   68.00      0.7456    
   69.00      0.6655    
   70.00      0.5915    
   71.00      0.5251    
   72.00      0.4672    
   73.00      0.4184    
   74.00      0.3788    
   75.00      0.3479    
   76.00      0.3251    
   77.00      0.3091    
   78.00      0.2989    
   79.00      0.2929    
   80.00      0.2899    
 END
