#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 7623 keV Jpi=3+ l=4 n=2 j=7/2"                   
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       2.755    
   1.000       2.764    
   2.000       2.788    
   3.000       2.828    
   4.000       2.883    
   5.000       2.951    
   6.000       3.030    
   7.000       3.120    
   8.000       3.217    
   9.000       3.321    
   10.00       3.430    
   11.00       3.542    
   12.00       3.656    
   13.00       3.771    
   14.00       3.885    
   15.00       3.997    
   16.00       4.106    
   17.00       4.210    
   18.00       4.306    
   19.00       4.390    
   20.00       4.461    
   21.00       4.512    
   22.00       4.542    
   23.00       4.545    
   24.00       4.520    
   25.00       4.463    
   26.00       4.373    
   27.00       4.250    
   28.00       4.094    
   29.00       3.907    
   30.00       3.692    
   31.00       3.454    
   32.00       3.197    
   33.00       2.928    
   34.00       2.652    
   35.00       2.377    
   36.00       2.109    
   37.00       1.853    
   38.00       1.614    
   39.00       1.397    
   40.00       1.205    
   41.00       1.038    
   42.00      0.8966    
   43.00      0.7813    
   44.00      0.6901    
   45.00      0.6211    
   46.00      0.5715    
   47.00      0.5382    
   48.00      0.5180    
   49.00      0.5074    
   50.00      0.5031    
   51.00      0.5021    
   52.00      0.5019    
   53.00      0.5004    
   54.00      0.4961    
   55.00      0.4882    
   56.00      0.4763    
   57.00      0.4603    
   58.00      0.4406    
   59.00      0.4178    
   60.00      0.3926    
   61.00      0.3657    
   62.00      0.3381    
   63.00      0.3107    
   64.00      0.2842    
   65.00      0.2593    
   66.00      0.2366    
   67.00      0.2164    
   68.00      0.1989    
   69.00      0.1841    
   70.00      0.1719    
   71.00      0.1620    
   72.00      0.1541    
   73.00      0.1479    
   74.00      0.1430    
   75.00      0.1390    
   76.00      0.1357    
   77.00      0.1326    
   78.00      0.1295    
   79.00      0.1261    
   80.00      0.1224    
 END
