#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 7623 keV Jpi=4+ l=6 n=1 j=11/2"                  
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000      0.6651    
   1.000      0.6591    
   2.000      0.6390    
   3.000      0.6009    
   4.000      0.5427    
   5.000      0.4682    
   6.000      0.3882    
   7.000      0.3175    
   8.000      0.2694    
   9.000      0.2493    
   10.00      0.2517    
   11.00      0.2630    
   12.00      0.2665    
   13.00      0.2512    
   14.00      0.2163    
   15.00      0.1721    
   16.00      0.1344    
   17.00      0.1172    
   18.00      0.1261    
   19.00      0.1553    
   20.00      0.1907    
   21.00      0.2167    
   22.00      0.2231    
   23.00      0.2094    
   24.00      0.1842    
   25.00      0.1606    
   26.00      0.1501    
   27.00      0.1570    
   28.00      0.1775    
   29.00      0.2023    
   30.00      0.2211    
   31.00      0.2281    
   32.00      0.2242    
   33.00      0.2160    
   34.00      0.2122    
   35.00      0.2190    
   36.00      0.2367    
   37.00      0.2598    
   38.00      0.2789    
   39.00      0.2856    
   40.00      0.2766    
   41.00      0.2548    
   42.00      0.2289    
   43.00      0.2094    
   44.00      0.2038    
   45.00      0.2137    
   46.00      0.2337    
   47.00      0.2536    
   48.00      0.2624    
   49.00      0.2528    
   50.00      0.2245    
   51.00      0.1839    
   52.00      0.1422    
   53.00      0.1107    
   54.00      0.9696E-01
   55.00      0.1018    
   56.00      0.1193    
   57.00      0.1393    
   58.00      0.1515    
   59.00      0.1492    
   60.00      0.1317    
   61.00      0.1042    
   62.00      0.7580E-01
   63.00      0.5553E-01
   64.00      0.4920E-01
   65.00      0.5725E-01
   66.00      0.7485E-01
   67.00      0.9401E-01
   68.00      0.1068    
   69.00      0.1084    
   70.00      0.9868E-01
   71.00      0.8224E-01
   72.00      0.6620E-01
   73.00      0.5735E-01
   74.00      0.5944E-01
   75.00      0.7167E-01
   76.00      0.8910E-01
   77.00      0.1046    
   78.00      0.1116    
   79.00      0.1068    
   80.00      0.9142E-01
 END
