#  81 angles,  1 tensor ranks for 0=projectile
@subtitle   "39K(3He,d)40Ca 21 MeV DWBA ZR 9226.69 keV Jpi=2+ l=2 n=2 j=3/2"                
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@yaxis ticklabel format power
@legend string   0 "Lab energy =   21.0000"
#legend string   0 "Partition=  2 Excit=  1 near/far= 1"
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   0.000       13.67    
   1.000       13.68    
   2.000       13.73    
   3.000       13.80    
   4.000       13.89    
   5.000       13.98    
   6.000       14.05    
   7.000       14.10    
   8.000       14.10    
   9.000       14.05    
   10.00       13.91    
   11.00       13.69    
   12.00       13.38    
   13.00       12.96    
   14.00       12.45    
   15.00       11.84    
   16.00       11.15    
   17.00       10.40    
   18.00       9.595    
   19.00       8.768    
   20.00       7.939    
   21.00       7.130    
   22.00       6.363    
   23.00       5.653    
   24.00       5.014    
   25.00       4.454    
   26.00       3.975    
   27.00       3.577    
   28.00       3.254    
   29.00       2.998    
   30.00       2.798    
   31.00       2.643    
   32.00       2.522    
   33.00       2.423    
   34.00       2.336    
   35.00       2.252    
   36.00       2.164    
   37.00       2.069    
   38.00       1.964    
   39.00       1.847    
   40.00       1.722    
   41.00       1.589    
   42.00       1.452    
   43.00       1.315    
   44.00       1.182    
   45.00       1.056    
   46.00      0.9386    
   47.00      0.8334    
   48.00      0.7412    
   49.00      0.6626    
   50.00      0.5975    
   51.00      0.5450    
   52.00      0.5037    
   53.00      0.4718    
   54.00      0.4474    
   55.00      0.4285    
   56.00      0.4131    
   57.00      0.3997    
   58.00      0.3867    
   59.00      0.3731    
   60.00      0.3583    
   61.00      0.3416    
   62.00      0.3233    
   63.00      0.3034    
   64.00      0.2824    
   65.00      0.2609    
   66.00      0.2396    
   67.00      0.2193    
   68.00      0.2006    
   69.00      0.1840    
   70.00      0.1701    
   71.00      0.1590    
   72.00      0.1508    
   73.00      0.1456    
   74.00      0.1431    
   75.00      0.1431    
   76.00      0.1451    
   77.00      0.1486    
   78.00      0.1531    
   79.00      0.1581    
   80.00      0.1629    
 END
